20200208,闵行,航华,宝丽花苑 中间楼层双南临河景观 全新精装修 随时看必看好房,348万,2室1厅 | 76.18平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TQvu4EoMb_1.jpg.296x216.jpg
20200208,闵行,航华,双南双天井， 装修四年，能拎包入住，税费少。急！,300万,2室1厅 | 64平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yXLtseUzC_1.jpg.296x216.jpg
20200208,闵行,航华,双南户型  户型正气 西边套全明 采光通风好,295万,2室1厅 | 70.15平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AAU4rQqfi_1.jpg.296x216.jpg
20200208,闵行,航华,小区在售为数不多的双南户型，满五年，业主人很好,270万,2室1厅 | 70.7平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GQtPF49sm_1.jpg.296x216.jpg
20200208,闵行,航华,航华大三房 降价出售 价格可谈 诚意出售随时看 满五年房主自荐,475万,3室2厅 | 115.36平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170207/05333e2c-6ded-44c3-ae75-4e3eb1355911.jpg.296x216.jpg
20200208,闵行,航华,品质小区，近地铁，顶楼复式，带露台，满五唯一房主自荐,516万,3室2厅 | 124.48平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170218/aa789cbc-62d2-43ee-b0ec-dcaf7a6166e4.jpg.296x216.jpg
20200208,闵行,航华,上海外销房小区，台湾开发商建造，品质保证房主自荐,720万,3室2厅 | 143.61平米 | 南 | 简装 | 低楼层(共8层) | 1999年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171008/df2edc1a-0b7c-441d-b6c1-97bee800327c.jpg.296x216.jpg
20200208,闵行,航华,房东人好，24小时迎接看房，实木家具，有腔调,368万,2室2厅 | 73.26平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d947c0f5-bf72-468d-a057-7467c0c686c7.jpg.296x216.jpg
20200208,闵行,航华,经典一楼 满五年唯一 商品房 小花园尽在眼前房主自荐,327万,2室2厅 | 71.07平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3205974d-b737-459a-b0d4-9c8558d7134c.jpg.296x216.jpg
20200208,闵行,航华,南邻河复景园，地铁口，森林公园，空气好，宜居宜住,,297万,2室1厅 | 75.61平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20161202/0fac396d-6105-4ffe-8adf-714439956d82.jpg.296x216.jpg
20200208,闵行,航华,两南一北双阳台，户型好，楼层好,635万,3室1厅 | 118.4平米 | 南 | 精装 | 中楼层(共5层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/40dc3321-3202-4e58-b98b-0dba805b1a66.jpg.296x216.jpg
20200208,闵行,航华,居家之选 精致小两房 全明户型位置佳采光好。房主自荐,328万,2室1厅 | 67.09平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a28907e3-cb83-4e8b-ac41-b098c317a7da.jpg.296x216.jpg
20200208,闵行,航华,房子是双南全明两房，业主诚心出售，东边套，采光好,358万,2室2厅 | 84.29平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20180106/7a003c30-de87-4314-97e0-e52c271c57b3.jpg.296x216.jpg
20200208,闵行,航华,一梯一户，满五年唯一，精装修大三房，配套成熟。,545万,3室2厅 | 112.49平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170422/ca09c085-2936-471e-afab-8df74127908f.jpg.296x216.jpg
20200208,闵行,航华,顶楼大复shi，小区只有一套，房型方正，满五年唯一。,818万,5室2厅 | 199.23平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170627/24b309b6-3439-4bdc-95ed-ec8d4fcfa573.jpg.296x216.jpg
20200208,闵行,航华,航华一村大两房 带电梯 近71路无轨电车 交通方便房主自荐,350万,2室1厅 | 81.43平米 | 南 | 简装 | 高楼层(共14层) | 1993年建 | 塔楼,https://image1.ljcdn.com/shfdfs-image/20171026/675b1275-d90c-44ed-a9d1-94c025defa5f.jpg.296x216.jpg
20200208,闵行,航华,航华一村 2室1厅 260万,260万,2室1厅 | 58.98平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7be5d843-44f2-470d-905e-82abaf6e2cea.jpg.296x216.jpg
20200208,闵行,航华,顶楼复式景观房，精装带有小露台，采光好诚意出售。,950万,6室4厅 | 237.68平米 | 南 北 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171016/c6ec4326-a8be-4386-a666-959b2366a00a.jpg.296x216.jpg
20200208,闵行,航华,嘉丰新苑三期复式大三房，四房三厅三卫，户型很赞。,720万,5室3厅 | 134.89平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0e5ce794-eeb0-4ede-9083-41a4cc9fd39a.jpg.296x216.jpg
20200208,闵行,航华,新明星花园 2室2厅 610万,610万,2室2厅 | 102.66平米 | 南 | 精装 | 高楼层(共8层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oCQFUvRex_1.jpg.296x216.jpg
20200208,闵行,航华,南北三房，经典户型，楼层好，房东移民城售,435万,3室2厅 | 106.86平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b1424022-7cc4-4c57-8c26-13b3ac05dd7c.jpg.296x216.jpg
20200208,闵行,航华,71路公交无缝对接 交通便利 满五唯一 电梯 景观楼层,780万,4室1厅 | 186.76平米 | 南 | 简装 | 中楼层(共14层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-101683f1-9d35-4bcc-a2da-bb2d9f08be82.jpg.296x216.jpg
20200208,闵行,航华,嘉丰新苑地铁300米精装复式大三房，带露台，满五唯一,550万,3室3厅 | 99.48平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/495cf4e7-607e-4b6b-b7e1-0e6fdbee89ac.JPG.296x216.jpg
20200208,闵行,航华,近10号线地铁，房型正气，四楼，精装修，拎包入住！,278万,2室1厅 | 65.45平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 暂无数据,https://image1.ljcdn.com/shfdfs-image/20180109/416c33ea-ac68-4e09-9d6b-aa874a489ec6.jpg.296x216.jpg
20200208,闵行,航华,鸿禧花园 4室2厅 950万,950万,4室2厅 | 174.76平米 | 南 | 其他 | 高楼层(共8层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/cf1d946b-5d96-41e4-bae0-ef26256a0d0b.JPG.296x216.jpg
20200208,闵行,航华,全明三房，一梯两户，价格便宜，接受置换，单价低,560万,3室2厅 | 147.29平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20161121/c7b7c8cd-858a-4e23-89b2-494a0ffd8105.jpg.296x216.jpg
20200208,闵行,航华,稀售顶楼复式带大露台，业主居家装修，位置棒,650万,4室3厅 | 146平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-407dc539-93e4-422c-8cf0-05d927d9fc0a.jpg.296x216.jpg
20200208,闵行,航华,七韵正气电梯大三房，交通方便次新小区，无抵押户口,690万,3室2厅 | 118.62平米 | 南 | 简装 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/6fdbbd3a-6893-488c-876c-1f622dd29491.png.296x216.jpg
20200208,闵行,航华,新明星花园精装修一楼带大花园，边套户型，优势大,500万,3室2厅 | 95.96平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,
20200208,闵行,航华,七韵美地苑 3室2厅 700万,700万,3室2厅 | 122.54平米 | 南 | 毛坯 | 低楼层(共12层) | 2010年建 | 板楼,
20200208,闵行,航华,七韵美地苑 1室1厅 355万,355万,1室1厅 | 56.25平米 | 南 | 其他 | 高楼层(共12层) | 2010年建 | 板楼,
20200208,闵行,航华,七韵美地苑 1室1厅 380万,380万,1室1厅 | 58.7平米 | 南 | 其他 | 高楼层(共12层) | 2010年建 | 板楼,
20200208,闵行,航华,双南边套全明，地铁站400米，闵行文化公园相伴！！1,335万,2室1厅 | 71.92平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,
20200208,闵行,航华,南北两房，电梯高区，景观楼层，车位充足，看房随时,540万,2室2厅 | 81.97平米 | 南 | 简装 | 高楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/9d8223b0-1163-4b3a-9fa0-0349806621c7.png.296x216.jpg
20200208,闵行,航华,航东路750弄小三房 满五税少 出门就有公交 出行方便,285万,3室1厅 | 69.05平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/x-se/310000-frame/f55a733a-fd64-4e30-917a-31a37e048a1b.jpg_600x450.jpg.296x216.jpg
20200208,闵行,航华,精装大两房，单价低，满五年，拎包入住,300万,2室2厅 | 94.51平米 | 南 | 简装 | 低楼层(共13层) | 1995年建 | 塔楼,https://image1.ljcdn.com/x-se/hdic-frame/25df5c0b-5666-4f0c-b7ec-af1461a3eefd.png.296x216.jpg
20200208,闵行,航华,华菁公寓 4室2厅 750万,750万,4室2厅 | 186.76平米 | 南 北 | 精装 | 高楼层(共14层) | 1997年建 | 塔楼,
20200208,闵行,航华,新明星花园 2室1厅 398万,398万,2室1厅 | 83.56平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/72d381e6-0adf-4c81-99ee-05ae8a331718.png.296x216.jpg
20200208,闵行,航华,满五不唯一，随时看房，景观楼层南北通透，交通便利,440万,2室2厅 | 92平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,
20200208,闵行,航华,鸿禧花园，经典三房，一梯两户，看房方便,635万,3室2厅 | 124.14平米 | 南 北 | 精装 | 中楼层(共8层) | 1998年建 | 板楼,
20200208,闵行,航华,景观楼层，南北通风且双阳台 使用面积大 10号线旁,388万,2室2厅 | 82.3平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/36f6eda5-847c-429b-8aa0-d38d6c27b8c8.png.296x216.jpg
20200208,闵行,航华,商品房小区 满五唯一东边套 户型正气 全明格局,399万,2室2厅 | 89.89平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/6e71ec70-5fe9-433e-a5a1-b688525052db.png.296x216.jpg
20200208,闵行,航华,航华一村 1室1厅 198万,198万,1室1厅 | 40.87平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/8d8be0d2-f9ed-48a9-b228-b4d80e1dd741.png.296x216.jpg
20200208,闵行,航华,婚房精装修，精品一房两厅，通透性好，采光充足房主自荐,350万,1室2厅 | 66平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/7b2a407a-098b-40c2-96d5-3befcc719829.png.296x216.jpg
20200208,闵行,航华,此房为二楼售后公房，无增值税，双南楼层好,310万,2室1厅 | 68.29平米 | 南 | 其他 | 低楼层(共6层) | 1997年建 | 板楼,
20200208,闵行,航华,航华四村精装大一房，近地铁明户型，看房随时，诚意售,190万,1室1厅 | 36.78平米 | 南 | 其他 | 中楼层(共6层) | 1994年建 | 板楼,
20200208,闵行,航华,四村中层一房，满五且唯一，采光好，房东急售！,200万,1室1厅 | 40.95平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,
20200208,闵行,航华,景丽苑 2室1厅 290万,290万,2室1厅 | 66.58平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/da3ce020-6fab-4c71-b298-bf9ae4607ce0.png.296x216.jpg
20200208,闵行,航华,丹桂花园 2室1厅 325万,325万,2室1厅 | 66.78平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,
20200208,闵行,航华,店长推荐：七宝电梯高层大三房，诚意出售，税费少。,640万,3室2厅 | 136.36平米 | 南 北 | 精装 | 高楼层(共8层) | 2001年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/10a423c2-0c28-4caa-95c3-c7c6623cbb3b.png.296x216.jpg
20200208,闵行,航华,新明星花园 2室2厅 460万,460万,2室2厅 | 89.31平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2003年建 | 板楼,
20200208,闵行,航华,航华一村 2室1厅 330万,330万,2室1厅 | 78.34平米 | 东南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/x-se/310000-frame/cae7f1a9-e2d3-44cb-9db7-5619b45ecb94.jpg.296x216.jpg
20200208,闵行,航华,七韵美地苑 1室1厅 350万,350万,1室1厅 | 55.78平米 | 南 | 其他 | 高楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/x-se/310000-frame/0e303af2-e979-4d68-90ae-8d597e9e02ae.jpg_200x150.jpg.296x216.jpg
20200208,闵行,航华,必选笋盘！双层面积，带露台，不临街不靠马路。,515万,3室2厅 | 124.48平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,
20200208,闵行,航华,航华三村三街坊 2室1厅 350万,350万,2室1厅 | 79.16平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/73864d95-d26a-4912-9ba1-8ed8edd44a38.png.296x216.jpg
20200208,闵行,航华,满五不唯一，白天提前约，南北通风大三房，中间楼层,590万,3室2厅 | 123.87平米 | 南 | 简装 | 中楼层(共5层) | 1999年建 | 板楼,
20200208,闵行,航华,华菁公寓 1室1厅 209万,209万,1室1厅 | 58.61平米 | 东南 | 简装 | 低楼层(共13层) | 1994年建 | 塔楼,
20200208,闵行,航华,航华三村四街坊 3室1厅 630万,630万,3室1厅 | 127.43平米 | 南 | 其他 | 低楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/88c6718a-6993-4e73-9db8-5855c1bc4830.png.296x216.jpg
20200208,闵行,航华,航华三村四街坊 3室1厅 630万,630万,3室1厅 | 127.43平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/88c6718a-6993-4e73-9db8-5855c1bc4830.png.296x216.jpg
20200208,闵行,航华,航华一楼双南两房 双天井 南北通风 满五唯一税费少,340万,2室1厅 | 74.66平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,
20200208,闵行,航华,航华一村 3室2厅 458万,458万,3室2厅 | 111.08平米 | 南 | 其他 | 高楼层(共6层) | 1996年建 | 板楼,
20200208,闵行,航华,晟虹新景苑 商品房小区 小区环境优美 闹中取静,555万,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共5层) | 2003年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/7128bc3f-e1a0-4793-a781-fdcc1b2e2e0d.png.296x216.jpg
20200208,闵行,航华,航华一村 2室1厅 310万,310万,2室1厅 | 78.33平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,
20200208,闵行,航华,航华一村 2室2厅 460万,460万,2室2厅 | 114.23平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/55713c52-eb2b-481a-bc59-cd4cf9597788.png.296x216.jpg
20200208,闵行,航华,航华一村 1室1厅 200万,200万,1室1厅 | 41平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,
20200208,闵行,航华,永兴小区 1室1厅 220万,220万,1室1厅 | 47.8平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,
20200208,闵行,航华,永兴小区 2室1厅 280万,280万,2室1厅 | 64平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/x-se/310000-frame/1b1a4c32-a318-4dac-bbcb-e506d22ca677.png.296x216.jpg
20200208,闵行,航华,鸿禧花园 1室1厅 206万,206万,1室1厅 | 36.64平米 | 东南 | 其他 | 低楼层(共9层) | 1999年建 | 板楼,https://image1.ljcdn.com/x-se/310000-frame/46a7b030-aba8-4e06-8fda-d8188aeb2b61.jpg.296x216.jpg
20200208,闵行,航华,三佳苑 3室1厅 430万,430万,3室1厅 | 88.43平米 | 南 | 其他 | 低楼层(共6层) | 1996年建 | 板楼,
