20200208,浦东,三林,近三林印象城，11号地铁沿线，电梯房景观楼层，满五年必看好房,457万,2室2厅 | 83.37平米 | 南 | 简装 | 中楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JcCGNzCLn_1.jpg.296x216.jpg
20200208,浦东,三林,近前滩，1楼带天井，双天井搭成房间了，面积很大,375万,2室1厅 | 74.42平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_svG9wsYzy_1.jpg.296x216.jpg
20200208,浦东,三林,3房，全明精装修，边套，双露台，动迁税少，近11号线,395万,3室1厅 | 76.35平米 | 南 | 其他 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JUOyRrQ8D_1.jpg.296x216.jpg
20200208,浦东,三林,前滩府地，商品房飞机户型，带阁楼，满五唯一税少,520万,3室2厅 | 112.03平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a5b96a6f-069c-4ebc-98ca-979d7664bcb1_1000.jpg.296x216.jpg
20200208,浦东,三林,户型方正，南北通透，楼层好，视野开阔，诚意出售.,760万,2室2厅 | 113.45平米 | 南 北 | 精装 | 高楼层(共18层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dNmmIAEQE_1.jpg.296x216.jpg
20200208,浦东,三林,万科雅筑电梯小三房，看房提前联系,645万,3室2厅 | 89.33平米 | 南 | 其他 | 中楼层(共10层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_siEIKp5gi_1.jpg.296x216.jpg
20200208,浦东,三林,金谊河畔 小区中间位置 万科物业 带产权车位 双南户型房主自荐,730万,2室2厅 | 113.89平米 | 南 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9MmSWb2Tk_1.jpg.296x216.jpg
20200208,浦东,三林,此房满5年唯一 全明西边套三房 出行双轨 看房方便,566万,3室2厅 | 99.42平米 | 南 北 西 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nwEQftcc9_1.jpg.296x216.jpg
20200208,浦东,三林,楼层好 业主诚意出售 看房提前约 价格可谈,355万,2室2厅 | 75平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4fb71dd7-6e7e-4fbc-a07f-1dce868745f5.jpg.296x216.jpg
20200208,浦东,三林,翠竹苑新出大两房 小区花园位置 满五唯一 业主诚售,320万,2室2厅 | 66.55平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H99CrTzQx_1.jpg.296x216.jpg
20200208,浦东,三林,一手动迁，税费少，中间楼层，视野开阔，户型方正。,525万,3室2厅 | 96.38平米 | 南 | 毛坯 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_avCeyLdMz_1.jpg.296x216.jpg
20200208,浦东,三林,前滩精装一房 看房方便 诚意出售 价格可谈 采光好房主自荐,245万,1室1厅 | 52.69平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RflSlWcFE_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，商品房户型，精装修，好楼层,375万,2室1厅 | 74.59平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ra5VOaKI1_1.jpg.296x216.jpg
20200208,浦东,三林,商品房品质社区， 正对小区花园位置，景观好,420万,1室2厅 | 70.67平米 | 南 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GPHWGcTBx_1.jpg.296x216.jpg
20200208,浦东,三林,一手动迁两房 诚意出售 税费少 楼层好 位置好,355万,2室2厅 | 79.5平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_okV1WvrY6_1.jpg.296x216.jpg
20200208,浦东,三林,中间楼层  位置佳  前面无遮挡  2004年小区,360万,2室2厅 | 81.57平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9DoNLGNdM_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，一手动迁，全明户型，小区门口就是地铁,265万,1室1厅 | 57.82平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6KjhilLqf_1.jpg.296x216.jpg
20200208,浦东,三林,6/11双地铁花园位置客厅朝南大一房，诚意出售！,400万,1室1厅 | 61.15平米 | 南 | 毛坯 | 18层 | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ae6b7927-3b30-4145-9cc2-64098e4b7eed_1000.jpg.296x216.jpg
20200208,浦东,三林,板式两房 南北两房 中间楼层 精装修 位置安静,359万,2室1厅 | 64.3平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nYWPwb91u_1.jpg.296x216.jpg
20200208,浦东,三林,前滩板块，满五唯一，双南户型，产权清晰，诚意出售,285万,2室1厅 | 64.92平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PFrysixgk_1.jpg.296x216.jpg
20200208,浦东,三林,中间位置 采光好 南北通两房 主卧带卫生间 自住保养好,605万,2室2厅 | 111.44平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0bc66fcc-84be-40cb-ad66-3320c079556c.png.296x216.jpg
20200208,浦东,三林,首付只要153万，大两房，前排花园，精装修，方便看,430万,2室2厅 | 87.16平米 | 南 | 精装 | 中楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-da37a1c9-d5ca-4f28-8ec3-30fab124a1cd.png.296x216.jpg
20200208,浦东,三林,翠竹苑南北两房好位置税费少诚售！,350万,2室1厅 | 69平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-37235633-606c-40c6-8f53-4783c09f3550.jpg.296x216.jpg
20200208,浦东,三林,底楼带小院 诚心出售  随时可看,310万,2室1厅 | 62.73平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/02ec4c51-a5e6-4591-a263-673fbb1e411e_1000.jpg.296x216.jpg
20200208,浦东,三林,2013年次新小区近地铁11号线，业主诚心出售,275万,1室1厅 | 51.21平米 | 南 | 简装 | 低楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_einupPIGQ_1.jpg.296x216.jpg
20200208,浦东,三林,三林苑高区一改二户型，进地铁，配套齐全,280万,1室1厅 | 61.92平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vCtNYwLCN_1.jpg.296x216.jpg
20200208,浦东,三林,11号线三林东+电梯中区+双南两房+一手动迁+业主急售,430万,2室2厅 | 92.06平米 | 南 北 | 毛坯 | 中楼层(共10层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TxVLI2DyW.jpg.296x216.jpg
20200208,浦东,三林,此房一手动迁，采光充足，配套齐全，交通便利,430万,2室1厅 | 92.06平米 | 南 | 毛坯 | 低楼层(共10层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BoeZ2oi5o.jpg.296x216.jpg
20200208,浦东,三林,一手动迁免增值税，厨房是书房，阳台可以拓面积,353万,2室2厅 | 74.18平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3sP84fCZb_1.jpg.296x216.jpg
20200208,浦东,三林,2006年电梯房，近金谊广场，近地铁,370万,2室1厅 | 73.74平米 | 南 | 简装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JjHRMBMf3_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，装修保养好，可以直接拎包入住，业主出售,340万,2室2厅 | 69.81平米 | 西 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CAdUlOWSm_1.jpg.296x216.jpg
20200208,浦东,三林,杉林新月879弄，靠河位置，一室一厅，看房方便,288万,1室1厅 | 53.55平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AcuhoiUyf_1.jpg.296x216.jpg
20200208,浦东,三林,三林苑（一期） 2室1厅 290万,290万,2室1厅 | 57.08平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kKLUknmoK_1.jpg.296x216.jpg
20200208,浦东,三林,动迁满五唯一 南北户型格局好 近地铁交通便利,419万,3室2厅 | 93.81平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-69873e7b-a12a-4e73-83f3-47f95d822242.jpg.296x216.jpg
20200208,浦东,三林,翠竹苑三房 ，小区中间位置，中间楼层，诚意出售。,420万,3室1厅 | 86.45平米 | 南 | 毛坯 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VkkOccTIR_1.jpg.296x216.jpg
20200208,浦东,三林,户型好，南北通风，一楼，前滩辐射潜力大,358万,2室1厅 | 75.2平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bffd2c07-b2c3-4f7f-96c1-19062759f442_1000.jpg.296x216.jpg
20200208,浦东,三林,印象城旁边精装修三房，高楼层采光好,570万,3室2厅 | 111.92平米 | 南 北 | 精装 | 中楼层(共18层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-442b34fc-1e18-4582-b6cc-05da3ab33ff3.jpg.296x216.jpg
20200208,浦东,三林,万科品质，南北两房，有露台，满五唯一，看房方便,610万,2室2厅 | 76.5平米 | 南 北 | 精装 | 中楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6cQo8TdQU_1.jpg.296x216.jpg
20200208,浦东,三林,金谊河畔 满五唯一 09年商品房 万科物业,495万,1室2厅 | 82.96平米 | 南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Tc4UZBA1n_1.jpg.296x216.jpg
20200208,浦东,三林,诚意出售，随时看房产权清晰，随时可以交易过户,465万,2室2厅 | 85.78平米 | 南 北 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jA2kTz7nQ_1.jpg.296x216.jpg
20200208,浦东,三林,30万精装，保利B户型89平附25平，采光无遮挡,555万,3室2厅 | 89.09平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LJgtkKjqP_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，前面花园，高区采光好，南北双阳台，带车位,460万,3室2厅 | 88.76平米 | 南 北 | 精装 | 高楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7lP8E1QAy_1.jpg.296x216.jpg
20200208,浦东,三林,商品房+满五唯一+看房随时+近地铁+采光好+户型方正房主自荐,530万,2室2厅 | 86.84平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OnIkYHnmO_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，保利C户型，中间楼层，随时可看,450万,2室2厅 | 89.79平米 | 南 | 毛坯 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Z11Oa3Tp4_1.jpg.296x216.jpg
20200208,浦东,三林,三林东站地铁口 低楼层上下楼方便 近三林印象城,360万,2室1厅 | 70.38平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-4d3e1d2f-1ab8-4e5e-bd11-99fc1c7d82ec.png.296x216.jpg
20200208,浦东,三林,大阁楼很高，楼上使用面积90平，满五唯一，诚意出售。,540万,3室2厅 | 119.81平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce50f191-0507-4c37-b3ff-400bcb6850ed.jpg.296x216.jpg
20200208,浦东,三林,翠竹苑三房两卫，中间楼层，看房方便，诚意出售,445万,3室1厅 | 86.5平米 | 南 北 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5e979a73-4ae6-48d4-83f2-0f29cf0a31aa.png.296x216.jpg
20200208,浦东,三林,品诚苑三林地区五品之一，当时是新加坡人建造的商品房,410万,2室1厅 | 83.29平米 | 南 北 | 简装 | 中楼层(共5层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LUctJQIBo_1.jpg.296x216.jpg
20200208,浦东,三林,正中间位置复式房，一个点个税，刚需必看好房。,310万,1室1厅 | 50.94平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1f195b14-9820-40c1-9984-6fdeab655a93.jpg.296x216.jpg
20200208,浦东,三林,诚意出售 满五唯一 一年只出来一套 方便看房主自荐,555万,2室2厅 | 90.75平米 | 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dfbf108d-a5d8-4fd3-9e66-c8746b503ec6.jpg.296x216.jpg
20200208,浦东,三林,好房诚意出售，价格可谈 景观位置 看房方便,355万,2室2厅 | 76平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lPehTaFIe_1.jpg.296x216.jpg
20200208,浦东,三林,金光小区 1室1厅 330万,330万,1室1厅 | 49.69平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/21163345-ee73-45cd-bf08-e948ae279c84_1000.jpg.296x216.jpg
20200208,浦东,三林,一楼带花园户型，精装修，有车位,820万,3室2厅 | 115.58平米 | 南 北 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9nsQtvAZ5_1.jpg.296x216.jpg
20200208,浦东,三林,房龄新 免增值税  近地铁  3开间朝南 配套齐全,510万,3室1厅 | 94.43平米 | 南 | 简装 | 低楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sN7Ch02Yj_1.jpg.296x216.jpg
20200208,浦东,三林,地铁6.8.11三线交轨，一梯两户，全明户型，售后公房，,288万,2室1厅 | 57.14平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e8f2bfbc-02c9-4795-9e2f-646ff804d987.jpg.296x216.jpg
20200208,浦东,三林,此房一手动迁，满五，双南户型两房，通风好房主自荐,251万,2室1厅 | 55.31平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3f27eb1c-290d-4bb8-b452-97a1b1ef271b.jpg.296x216.jpg
20200208,浦东,三林,前滩板块  6.8号线双轨交汇  精装修大一房改的两房,282万,2室1厅 | 67.09平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LmP2BipVA_1.jpg.296x216.jpg
20200208,浦东,三林,品新苑+面朝花园+价位合适+满五年+无遮挡采光好,445万,2室2厅 | 91.66平米 | 南 | 其他 | 低楼层(共13层) | 2000年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-bc9f427f-26d8-4e07-a0de-ec3dc92e1d5f.png.296x216.jpg
20200208,浦东,三林,近地铁，位置好，南北通全明户型。,725万,3室2厅 | 123.02平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MuX4bfFXh_1.jpg.296x216.jpg
20200208,浦东,三林,紧靠前滩   中间楼层  采光好 地铁6.8号线双轨交汇处,350万,2室1厅 | 75.2平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b20db332-b10b-4343-9d9c-4b6a279a2596.jpg.296x216.jpg
20200208,浦东,三林,楼层适中  采光良好 房东诚意出售,345万,2室1厅 | 72.37平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2e348323-096b-4c75-b26f-52f08c776f9b.jpg.296x216.jpg
20200208,浦东,三林,业主诚意出售  看房随时  中等装修 拎包入住房主自荐,348万,2室1厅 | 75.11平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ebb641a3-5d7e-463a-be87-e6372faf23a8.jpg.296x216.jpg
20200208,浦东,三林,金光小区  总价低 满五年唯一 税费少 业主诚意出售房主自荐,290万,1室1厅 | 44平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Hh1BpXMgu_1.jpg.296x216.jpg
20200208,浦东,三林,2楼 地铁6.8双轨 近前滩 精装修 南北大两房房主自荐,368万,2室1厅 | 80.43平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-2544d825-5ee7-4d59-b79e-a0d20760d906.png.296x216.jpg
20200208,浦东,三林,精装修，动迁税少，生活设施齐全，拎包入住,505万,3室1厅 | 94.22平米 | 南 | 简装 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd6b1e61-27db-440d-a284-d4cb50945513.jpg.296x216.jpg
20200208,浦东,三林,顶楼复式大3房可成5房，大阳光房，适合一家,590万,3室2厅 | 132.5平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac0b8b8d-0869-449b-8cb0-f62ecbaf5eff.jpg.296x216.jpg
20200208,浦东,三林,此房满五唯一，两室，楼层佳，配套设施齐，交通方便,330万,2室1厅 | 63.4平米 | 南 | 精装 | 低楼层(共8层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-572c39eb-334d-4775-b8ec-1ad95f21ce43.jpg.296x216.jpg
20200208,浦东,三林,前滩板块，双南两房，房型正气，诚意出售,335万,2室1厅 | 70.41平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-141aea15-e36c-4622-a367-faac0693c511.png.296x216.jpg
20200208,浦东,三林,全明户型，中间楼层，户型方正，6、8号双轨交通,350万,2室1厅 | 70.36平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-76402e7e-ea74-4b7c-a47a-b670bc6443ef.jpg.296x216.jpg
20200208,浦东,三林,三轨交汇，交通便利，三房一厅，中间楼层，采光好,400万,3室1厅 | 81.21平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d5674056-6f5e-4aba-ad71-5d5e3a29941b.jpg.296x216.jpg
20200208,浦东,三林,精装修两房，保养好，总价低，税费少,300万,2室1厅 | 57.37平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5cc77239-0d97-4d78-b230-eedac019d196.jpg.296x216.jpg
20200208,浦东,三林,地铁，出行便利，满五年，婚房装修！,448万,3室2厅 | 93.19平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a81f1fbd-6828-409f-abca-40b07d876537.jpg.296x216.jpg
20200208,浦东,三林,一手动迁，满五唯一，无增值税，产权清晰，,355万,2室1厅 | 74.68平米 | 南 | 简装 | 低楼层(共5层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9fad6ffb-b8ba-41d5-8814-a9466b666e9c.jpg.296x216.jpg
20200208,浦东,三林,3楼，少有的板式南北通，一手动迁，少税费，看房方便,356万,2室1厅 | 71.97平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-043b6e36-226c-4e15-b2b5-e53f9469c693.jpg.296x216.jpg
20200208,浦东,三林,万科洋房四楼，看房方便，诚意出售,610万,2室2厅 | 78平米 | 南 北 | 精装 | 中楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DUJysXwzE_1.jpg.296x216.jpg
20200208,浦东,三林,前滩边上，一房价格买两房，南北通，出门即双地铁房主自荐,241万,2室1厅 | 52.33平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YUEI6SpCa_1.jpg.296x216.jpg
20200208,浦东,三林,配套齐全，总价低，小户型，精装修好房出售,285万,2室1厅 | 63.39平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f22b47d9-c8bc-4018-926b-7b133ebabeb2_1000.jpg.296x216.jpg
20200208,浦东,三林,中间楼层，刚需南北小两房，格局好，视野开阔,245万,2室1厅 | 52.33平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/738b2dad-bb57-4788-b68f-10057b0afede_1000.jpg.296x216.jpg
20200208,浦东,三林,房子南、北两室，位置好，户型好，采光很棒,257万,2室1厅 | 56.76平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f1ca95b6-b7ad-4a37-a647-24519d258a01_1000.jpg.296x216.jpg
20200208,浦东,三林,前滩CBD辐射住宅+6/8/11三轨交汇+非1楼+板式户型,332万,2室1厅 | 64.3平米 | 南 | 毛坯 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZV3fTEmPD_1.jpg.296x216.jpg
20200208,浦东,三林,三林新村，一手动迁，楼层好，南北户型，电梯房,285万,1室1厅 | 51平米 | 南 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7b121122-d845-457a-a3df-cfe86210460a_1000.jpg.296x216.jpg
20200208,浦东,三林,装修保养好 业主自己没怎么住 可拎包入住 C+8㎡,450万,2室1厅 | 89.66平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9f97e0a7-d7af-48f2-af68-c52cf8947c7d.jpg.296x216.jpg
20200208,浦东,三林,三个卧室朝阳，采光充足，交通便利！,400万,3室1厅 | 86.13平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fb87555b-d744-4aba-83e4-71902b8844d0.jpg.296x216.jpg
20200208,浦东,三林,品质小区 满5唯一 正气4房 小区人车分流 近地铁,865万,4室2厅 | 145.46平米 | 南 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ldXZw7Dr1_1.jpg.296x216.jpg
20200208,浦东,三林,南北两房精装修，前滩CBD 辐射6.811.三轨交汇,265万,2室1厅 | 56.7平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UcpZDwOKr_1.jpg.296x216.jpg
20200208,浦东,三林,满五二分之一唯一，视野开阔，有产权车位价格另算,820万,4室2厅 | 144平米 | 南 | 简装 | 高楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QfI2JpSOC_1.jpg.296x216.jpg
20200208,浦东,三林,三林城，大三房，有电梯，全明户型，采光通透好。,539万,3室1厅 | 109.08平米 | 南 | 简装 | 低楼层(共10层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iErRePbVc_1.jpg.296x216.jpg
20200208,浦东,三林,简约日式风格+中间楼层尊享充足采光全天通风,353万,2室1厅 | 70.02平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fcQXej9Pp_1.jpg.296x216.jpg
20200208,浦东,三林,楼层好，附子母双车位，不靠路，前滩品质小区，,680万,2室2厅 | 101.85平米 | 南 北 | 精装 | 低楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2kwnzomnE_1.jpg.296x216.jpg
20200208,浦东,三林,动迁税费少，无户口产权清晰，诚意出售配套好。,458万,2室2厅 | 84.5平米 | 南 北 | 简装 | 低楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vc3xtoyL5_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一 精装修 户型好 小两房,280万,2室1厅 | 55.9平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7GYwIl1Zf_1.jpg.296x216.jpg
20200208,浦东,三林,三林印象城旁2房一手动迁，满五唯一，三林站2号口,375万,2室1厅 | 77.17平米 | 南 北 | 毛坯 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6jObKpuOf_1.jpg.296x216.jpg
20200208,浦东,三林,满五年唯一，南北通透户型，楼层佳，11号地铁沿线,388万,2室2厅 | 73.39平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SRoMvWRl8_1.jpg.296x216.jpg
20200208,浦东,三林,11号线地铁口 墅区大三房 一楼带大花园 有车位,780万,3室2厅 | 132.19平米 | 南 北 | 简装 | 低楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_x2y3QDYi2_1.jpg.296x216.jpg
20200208,浦东,三林,低总价小三房 得房率高 看房方便 免增值税 免个税,405万,3室1厅 | 81.81平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BWPoFyqig_1.jpg.296x216.jpg
20200208,浦东,三林,两房朝南，一楼有天井，通风效果好，交通配套成熟。,290万,2室1厅 | 57.19平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QYuXqPylW_1.jpg.296x216.jpg
20200208,浦东,三林,三轨交通， 产权清晰，到价签字,356万,2室1厅 | 74.67平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LN0zuUVJ0_1.jpg.296x216.jpg
20200208,浦东,三林,全南户型，楼层好，视野宽阔，满五年唯一,495万,2室2厅 | 84平米 | 南 | 简装 | 高楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_c9f3PRwFo_1.jpg.296x216.jpg
20200208,浦东,三林,2013年次新房小区  4米开间 品牌厨具卫具 轨交11号线,630万,3室2厅 | 88.48平米 | 南 北 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_q3KvETGWq_1.jpg.296x216.jpg
