20200208,浦东,北蔡,满五唯一税费少！单价低总价也低！房东诚意出售！必看好房,400万,3室1厅 | 118.69平米 | 南 | 简装 | 低楼层(共22层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_lDyJkmqzF_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一+格局方正+一梯两户+拎包入住+看房方便房主自荐,900万,3室2厅 | 125.11平米 | 南 北 | 精装 | 低楼层(共13层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8c930f0a-496e-44c0-a6f2-fcb736a84beb.jpg.296x216.jpg
20200208,浦东,北蔡,一梯两户 小户型双南两房 总价低,293万,2室1厅 | 60.23平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d5406782-65ea-456b-a884-7ffd998c1240.jpg.296x216.jpg
20200208,浦东,北蔡,绿川馨康苑 2004年绿地商品房 南北户型满五唯一,435万,2室1厅 | 84.21平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d39dcdc8-bc2a-491a-adcf-3280ec664a93.png.296x216.jpg
20200208,浦东,北蔡,【花木板块】2/7/16号线交汇+比邻龙阳路CBD必看好房房主自荐,195万,1室1厅 | 42.06平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b7e00363-6c30-4ef8-9357-cba86501f8ba.jpg.296x216.jpg
20200208,浦东,北蔡,龙阳好房推荐，精装修，采光丰富视野开阔业主诚意出售,280万,2室1厅 | 59.14平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qfIBUnNML_1.jpg.296x216.jpg
20200208,浦东,北蔡,13号线低总价，满五年唯一税费少，房东诚意出售。,290万,2室1厅 | 63.05平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5owSNc2k4_1.jpg.296x216.jpg
20200208,浦东,北蔡,2000年商品房满五年唯一 一梯一户 一线双阳台河景房,440万,2室2厅 | 92.31平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yLtJEzhRi_1.jpg.296x216.jpg
20200208,浦东,北蔡,品质小区，双轨交通7/13号线，有车位，电梯中楼层。,760万,3室2厅 | 108.06平米 | 南 | 精装 | 中楼层(共20层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_imOinqVp2_1.jpg.296x216.jpg
20200208,浦东,北蔡,中间楼层，1997年竣工，双南户型，产权清晰,268万,2室1厅 | 61.39平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UfsT5v3lq_2.jpg.296x216.jpg
20200208,浦东,北蔡,带花园原始两房，中内环，交通便利，客户买的实惠。,515万,2室1厅 | 70.95平米 | 南 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dShFOkMvY_2.jpg.296x216.jpg
20200208,浦东,北蔡,一梯两户  客厅带边窗  近七号线地铁   浦东图书馆,245万,1室1厅 | 50.74平米 | 南 北 | 简装 | 高楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OWAO10A94_1.jpg.296x216.jpg
20200208,浦东,北蔡,此房采光好 小区中间位置 三楼 诚意出售,375万,2室1厅 | 76.32平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cfppL42BH_1.jpg.296x216.jpg
20200208,浦东,北蔡,中环内，低总价，一梯两户，交通便利,240万,2室1厅 | 58.6平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J01YHJ9iR_1.jpg.296x216.jpg
20200208,浦东,北蔡,此房一手动迁 满五唯一 楼层好 看房方便！,240万,1室1厅 | 52.52平米 | 南 | 精装 | 中楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yy7fEVVoC_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一 户型好 看房随时方便 房东诚意出售,238万,1室1厅 | 46.66平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_619dj8e5M_1.jpg.296x216.jpg
20200208,浦东,北蔡,艾东小区 3室1厅 330万,330万,3室1厅 | 60.19平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sqyH31QaU_1.jpg.296x216.jpg
20200208,浦东,北蔡,2000年商品房，非顶非底，满五年不唯一，车位充裕,400万,2室2厅 | 79.11平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GcrqwmvtW_1.jpg.296x216.jpg
20200208,浦东,北蔡,小两房+全明户型，带车位。店长推荐!!!!!,210万,2室1厅 | 49.86平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XYxV44QhH_1.jpg.296x216.jpg
20200208,浦东,北蔡,05年商品 顶楼复式 近18号地铁  诚意出售 满五年唯一,580万,4室2厅 | 86.9平米 | 东南 | 简装 | 高楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WJe0pg5jW_1.jpg.296x216.jpg
20200208,浦东,北蔡,双南全明+近地铁+中间3楼+业主诚售+税费少,340万,2室1厅 | 59.81平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H1hyVpJim_1.jpg.296x216.jpg
20200208,浦东,北蔡,全明户型，双南双天井，中间位置，环境幽静房主自荐,398万,2室1厅 | 69.83平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7J6qyovvA_1.jpg.296x216.jpg
20200208,浦东,北蔡,店长推荐+ 一梯两户+双南户型+满五唯一+诚意出售,315万,2室1厅 | 70.78平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6ouHXPKnU_1.jpg.296x216.jpg
20200208,浦东,北蔡,新出满2年高区好房，税费少，房东诚意卖，拎包入住,780万,2室2厅 | 83.21平米 | 南 | 精装 | 高楼层(共24层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xQ7KgnLgY_1.jpg.296x216.jpg
20200208,浦东,北蔡,中环靠内+高品质小区+电梯板式两房+带露台+满五唯一,760万,2室2厅 | 83.41平米 | 南 北 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-06cb0c63-06c7-462d-8ca4-ed03c1c1ecf1.jpg.296x216.jpg
20200208,浦东,北蔡,非顶楼，一梯两户+双南好户型，满五唯一，税费少。,324万,2室1厅 | 75.27平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0e02dc4f-4411-4612-af39-197c960a5442.jpg.296x216.jpg
20200208,浦东,北蔡,两年前婚房装修 房子满五年 看房提前预约,310万,2室1厅 | 67.4平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ceaa41cd-d261-4f69-81c0-91f4dd578575.jpg.296x216.jpg
20200208,浦东,北蔡,首付106万，年底前要出手，随时看房，价位可以谈。房主自荐,305万,2室1厅 | 67.77平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-677a4db4-28a8-4148-a92d-70eca7b94d4c.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一高区南北错通有产权车位，浅色装修刷卡入户,1170万,3室2厅 | 125.42平米 | 南 | 精装 | 高楼层(共19层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-90b229cd-dc41-444e-9b62-f1cba79f659a.jpg.296x216.jpg
20200208,浦东,北蔡,中环内北蔡单价3万7，商品房顶楼复式，带车位+露台。,545万,4室2厅 | 145.83平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b3b37588-9be3-4ab2-89ea-66b4a351d756.png.296x216.jpg
20200208,浦东,北蔡,稀有浅色系4房 视野开阔 我有钥匙 业主急售,2300万,4室3厅 | 242.81平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7f6cb641-221b-40f1-a722-2df26f22f154.png.296x216.jpg
20200208,浦东,北蔡,无增值税 精装修 5楼 视野开阔 采光好 拎包入住房主自荐,282万,2室1厅 | 53平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yJaS5cwL6_1.jpg.296x216.jpg
20200208,浦东,北蔡,2楼+满五年唯一+地铁龙阳路站790米（数据来自高德）,258万,1室1厅 | 53.06平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dfc79aa2-963a-481b-bc65-e3f5876ae023.jpg.296x216.jpg
20200208,浦东,北蔡,交通便利  中间楼层  总价低  房东诚意  采光好,318万,2室1厅 | 63.29平米 | 南 北 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-467f6488-383d-44b3-9374-536cd1537acc.png.296x216.jpg
20200208,浦东,北蔡,红木家具装修一楼带天井 正气三房诚意出售,492万,3室2厅 | 105.19平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9321484a-97d9-451e-9d7b-161e9e2468cd.jpg.296x216.jpg
20200208,浦东,北蔡,三房朝南+双轨交通+独立餐厅+采光无遮挡+看房有钥匙,850万,3室2厅 | 129平米 | 南 | 精装 | 低楼层(共7层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aGXZn8szm_1.jpg.296x216.jpg
20200208,浦东,北蔡,全明户型 采光好 视野佳  满五唯一无个税,405万,3室1厅 | 96.26平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6bc5ea6a-624a-4064-9816-0c413f18691c.jpg.296x216.jpg
20200208,浦东,北蔡,满五年唯一+人车分流+精装修+高区景观+大卧室+双阳台,580万,2室1厅 | 72.57平米 | 西南 | 精装 | 中楼层(共18层) | 2013年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-787afe5a-58e1-4185-b3c4-6ce36f4dbc68.jpg.296x216.jpg
20200208,浦东,北蔡,电梯2卫户型+满五年唯一住房+7/13号线地铁+配套齐全,815万,2室2厅 | 113.36平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2JOdj6PEl_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五年唯一+一梯两户+边套户型全明+业主自住精装修房主自荐,300万,2室1厅 | 63.47平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac6ee849-ac9c-4aec-b388-31900a4f65ef.jpg.296x216.jpg
20200208,浦东,北蔡,三开间朝南，客厅朝北，一梯一户，满五不唯一,456万,3室1厅 | 104.01平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-24547517-1dc8-4c5e-b94b-a1c5668ebac7.jpg.296x216.jpg
20200208,浦东,北蔡,新出房源+免增值税、免个税+2004年小区，内环旁,430万,2室1厅 | 61.85平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c17989f5-f506-4696-8409-7877c5d75a82.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一非顶楼 双南户型南北通透 地铁7号线出行方便房主自荐,350万,2室1厅 | 70.11平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5fbb409a-0a48-47ce-86fc-16cd4cd8c875.jpg.296x216.jpg
20200208,浦东,北蔡,必看好房！动迁满五唯一 只有契税 诚意出售小区低,305万,2室1厅 | 53.75平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b48d8d3e-212e-4f4c-9da4-eb1351847231.jpg.296x216.jpg
20200208,浦东,北蔡,连宏苑   南北通大三房   诚意出售   价格可谈,680万,3室2厅 | 127.35平米 | 南 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac2e2956-6c2c-4ac3-a161-6dd345d9c248.jpg.296x216.jpg
20200208,浦东,北蔡,二期安静位置+装修保养好+高区视野采光好+房东诚意卖,3100万,4室2厅 | 292平米 | 南 | 精装 | 高楼层(共19层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-dad975c2-0dd0-466c-8c54-40f50201f907.png.296x216.jpg
20200208,浦东,北蔡,客厅和主卧朝南，好户型双地铁口,215万,1室1厅 | 45.77平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5477bbc0-a0bf-49dd-a4af-bbfde142faaf.jpg.296x216.jpg
20200208,浦东,北蔡,内中环地段  一手动迁  双轨交通   业主急售  有钥匙,300万,1室1厅 | 63.19平米 | 南 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-161c7a96-5e00-43af-8e12-47fd7f5cd5fa.jpg.296x216.jpg
20200208,浦东,北蔡,朝西视野采光视野好+诚意售+配套齐全+7+13号线双规,978万,3室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Od47isX1v_1.jpg.296x216.jpg
20200208,浦东,北蔡,中环内，复式一楼复二楼，13线地铁口,720万,4室2厅 | 140.76平米 | 南 | 简装 | 低楼层(共5层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_quYqpRAAi_1.jpg.296x216.jpg
20200208,浦东,北蔡,三房+诚意出售+全明户型+看房方便+钥匙房+满五唯一,420万,3室1厅 | 90.33平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0cxLcdt47_1.jpg.296x216.jpg
20200208,浦东,北蔡,该房近龙阳路地铁站，出行便利，楼层好，采光佳,920万,3室2厅 | 121.42平米 | 南 北 | 精装 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Zn5J12WOy_1.jpg.296x216.jpg
20200208,浦东,北蔡,由由新佳苑 2室2厅 589万,589万,2室2厅 | 99.88平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_g1zHrAoMR_1.jpg.296x216.jpg
20200208,浦东,北蔡,此房高楼层采光充足，全明户型，配套齐全，南北通风好,420万,3室1厅 | 87.24平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kYayRqW3W_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五年唯一，税费少，中间楼层，视野开阔,275万,2室1厅 | 59.67平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C1452pxPm_1.jpg.296x216.jpg
20200208,浦东,北蔡,税费少，13号线500米，交通便利，配套成熟，适合居住,210万,1室1厅 | 47.05平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c9884187-9b36-4a2e-bff9-ef5f207716e2.jpg.296x216.jpg
20200208,浦东,北蔡,本小区自带游泳池 新加坡人设计 看房方便,500万,2室2厅 | 102平米 | 暂无数据 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2f22cef4-6834-483c-aa76-b2ba5a4ec881.jpg.296x216.jpg
20200208,浦东,北蔡,板式南北通 一梯两户全明 小区央位 自住精装接受置换,428万,2室2厅 | 88.28平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9313106a-0e53-4c60-9943-23d0614d0aba.jpg.296x216.jpg
20200208,浦东,北蔡,此房满五年唯一，五楼非顶楼，总价低，看房方便。,240万,2室1厅 | 55.76平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-146f5a20-44e8-48c3-bbed-edec40b6e55c.png.296x216.jpg
20200208,浦东,北蔡,2000年商品房，精装修一楼双天井，50弄，南北通风,450万,2室2厅 | 90.82平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-848b6d5a-971c-4ee2-a37e-c741025bad7c.jpg.296x216.jpg
20200208,浦东,北蔡,复式房+满五唯一+2004年商品房+7号线锦绣路+近内环线,698万,3室2厅 | 148.27平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ab4df98-79ec-42c1-9698-59d586d90b6b.jpg.296x216.jpg
20200208,浦东,北蔡,2002年商品房4米挑高大厅房东两年前自住装修 看房方便,525万,4室2厅 | 87.52平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-91187ae4-5444-4c4c-a298-414355ad156a.jpg.296x216.jpg
20200208,浦东,北蔡,双朝南户型 采光好 楼层好 满五年 看房随时,250万,1室1厅 | 45.75平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3d6bbc53-9c49-404d-95fa-f727b0fa857a.jpg.296x216.jpg
20200208,浦东,北蔡,精装修2房，南北通风，小区人车分流，次新房采光好房主自荐,570万,2室2厅 | 74.68平米 | 西南 | 精装 | 低楼层(共18层) | 2013年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-5c2cb45c-cdf7-469a-b303-0a0e5e616bc1.jpg.296x216.jpg
20200208,浦东,北蔡,精装修拎包入住 双南 一梯两户 97年竣工,330万,2室1厅 | 66.68平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7b3685e3-fbe2-4ae2-9154-488c52ad24b0.jpg.296x216.jpg
20200208,浦东,北蔡,满五年+精装修两房+单价便宜+户型方正+近七号线地铁房主自荐,283万,2室1厅 | 61.44平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cbe6644c-960c-4e68-9a3a-ebbb948fad09.jpg.296x216.jpg
20200208,浦东,北蔡,新上房源 产权清晰 无户口！常租车位 满五年 近地铁,370万,2室2厅 | 72.66平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-963da1af-2c3b-4039-8f7c-2e36640c666e.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一 一梯两户 15年的婚房装修 车位充裕房主自荐,568万,3室2厅 | 116.8平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dc20395c-f307-4e5f-a22d-9c485033046d.jpg.296x216.jpg
20200208,浦东,北蔡,1998年房 停车方便 税少 精装修 一梯两户 楼间距宽敞,439万,2室2厅 | 80.21平米 | 南 北 | 精装 | 低楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2a96e71e-41d1-4492-8e4a-b57df5e17593.jpg.296x216.jpg
20200208,浦东,北蔡,3房朝南+中间位置+7号线13号线双地铁+配套齐全+诚售,930万,3室2厅 | 129.42平米 | 南 | 精装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-00041e76-85be-49ee-8419-e50fce495654.jpg.296x216.jpg
20200208,浦东,北蔡,13号线地铁769米，商品房，楼层好采光佳！业主诚售,485万,3室2厅 | 103.47平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e5f571d4-37c4-49bd-b9d6-1cabdaf50052.jpg.296x216.jpg
20200208,浦东,北蔡,全明户型 简单装修 南北格局 采光充足 诚意出售,300万,2室1厅 | 73.24平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-032d0b2d-bb41-4de4-8a7e-dd709fc5832a.jpg.296x216.jpg
20200208,浦东,北蔡,房子是一手动迁的产证齐全，只有1%的个税，无增值税,500万,2室1厅 | 89.68平米 | 南 | 毛坯 | 6层 | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3893412a-ec2e-4cae-8199-9bff12423935.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一 中间楼层 楼层好 诚意出售   交通便利,305万,2室1厅 | 55.58平米 | 西 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tHPmbIdgo_1.jpg.296x216.jpg
20200208,浦东,北蔡,诚售主推热房：价格美丽·3房2卫·3开间朝南·电梯房,975万,3室2厅 | 124.33平米 | 南 | 简装 | 低楼层(共12层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pSCQczkD9_1.jpg.296x216.jpg
20200208,浦东,北蔡,有钥匙随时看房，无增值税，盒马，影院菜市场，采光好,258万,2室1厅 | 55.32平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6d0f5f7c-f2e9-45b3-9199-0d233250aac0.jpg.296x216.jpg
20200208,浦东,北蔡,全明户型单价低，精装房，双轨交，采光佳，满五年唯一房主自荐,315万,2室2厅 | 61.15平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JlP3pMKLo_2.jpg.296x216.jpg
20200208,浦东,北蔡,一梯三户，小户型两房，业主诚心出售，满五唯一。,260万,2室1厅 | 54.17平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dFlJt5L7F_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一，中间楼层，业主诚心出售。,280万,2室1厅 | 61.56平米 | 南 北 | 简装 | 中楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TBkGkJVK4_1.jpg.296x216.jpg
20200208,浦东,北蔡,低楼层 满五年  全明户型 紧靠13号线 诚意出售,330万,2室2厅 | 64.29平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RKsZ0btdh_1.jpg.296x216.jpg
20200208,浦东,北蔡,采光充足，交通便利，房东诚意出售,370万,2室1厅 | 72.23平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4b8d0a61-13e0-41b4-9ff2-c4b6d6c5e8d8.jpg.296x216.jpg
20200208,浦东,北蔡,中间楼层视野开阔 一梯两户纯商品房房,590万,3室1厅 | 114.91平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-deb0d79b-9b2a-48c1-b274-548895605bce.jpg.296x216.jpg
20200208,浦东,北蔡,17年的新小区，高楼层，视野很好，停车位充足,1000万,3室2厅 | 122.56平米 | 南 | 精装 | 中楼层(共24层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e16670f9-2fd4-4ca7-9f6a-00421bffef50.jpg.296x216.jpg
20200208,浦东,北蔡,满五年税费少产权一个适合老年人居住,249万,1室1厅 | 46.05平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d7995036-01c9-4c30-9044-194a01431e8e.jpg.296x216.jpg
20200208,浦东,北蔡,16万精装修  近地铁  全明户型  南北通透  随时看房,285万,1室1厅 | 46.5平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2ce14427-2d4b-4e11-99e8-1f6a690c30d0.jpg.296x216.jpg
20200208,浦东,北蔡,房改售房 满五唯一 一梯两户 全明采光 交通便利,305万,2室1厅 | 62.83平米 | 东 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8a451019-af57-4a4a-9f2e-dff479f994e5.jpg.296x216.jpg
20200208,浦东,北蔡,双南两房 边套 小区央位 花木街道 邻陆家嘴 诚售！房主自荐,288万,2室1厅 | 58.76平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-58893dee-2205-44b1-aa79-6f4f3a11c2d4.jpg.296x216.jpg
20200208,浦东,北蔡,朝南户型，满五唯一，税费少，业主诚意出售！,250万,1室1厅 | 50.03平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9b0d1748-ca45-4762-b66a-92892f1f4cc0.jpg.296x216.jpg
20200208,浦东,北蔡,低区精装修三居，小区安静位置，业主诚意出售，税少,390万,3室1厅 | 82.72平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hcB0U2u6g_1.jpg.296x216.jpg
20200208,浦东,北蔡,中环内，刚需南北两房，四楼，好楼层，业主置换诚卖,290万,2室1厅 | 63.15平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-270e71ec-17bb-459f-a739-f70e58765b1a.jpg.296x216.jpg
20200208,浦东,北蔡,非顶楼，双南小两房，户型方正，地铁7号线13号线,245万,2室1厅 | 50.81平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2d45ae87-3f78-4763-b885-8a3211270a57.jpg.296x216.jpg
20200208,浦东,北蔡,中环内 无增值税 电梯南北通透 两房,528万,2室2厅 | 86.56平米 | 南 北 | 简装 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5a1acad8-1ff7-4402-b088-6467650e8268.jpg.296x216.jpg
20200208,浦东,北蔡,婚房装修+省增值税和个人所得税+7号线13号地铁通透,590万,3室2厅 | 102.2平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cU8jfWxqd_1.jpg.296x216.jpg
20200208,浦东,北蔡,中环内健身楼层 视野宽阔 产权清晰 房东诚意出售房主自荐,310万,2室1厅 | 67.14平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0dbjaoUbG_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯1税少 楼层高视野开阔 全屋地暖,998万,2室2厅 | 105.77平米 | 南 | 精装 | 中楼层(共19层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qIKLL8pry_1.jpg.296x216.jpg
