20200208,浦东,川沙,房屋格局好，户型方正，满两年，唯必看好房,208万,2室1厅 | 59.89平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/500dfff3-2462-4954-9fdc-691a1223f9ec_1000.jpg.296x216.jpg
20200208,浦东,川沙,此房满五唯一，采光充足，配套齐全，交通便利,178万,1室1厅 | 45.51平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d47cfdac-626e-46ac-9649-a04d54a637b7_1000.jpg.296x216.jpg
20200208,浦东,川沙,东站边精装修 大三房 随时看无论是自住还是都是不错,275万,3室2厅 | 104.17平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-804719eb-3857-4e6a-a2ed-2258fe6e5ba5.png.296x216.jpg
20200208,浦东,川沙,阳光城紧凑小三房 满两年高楼层 前后无遮挡 视野佳,450万,3室1厅 | 90平米 | 南 北 | 精装 | 高楼层(共20层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9c5e3370-2263-4282-a2e0-ce6dcef9b438_1000.jpg.296x216.jpg
20200208,浦东,川沙,房满五唯一，中间楼层，产权清晰,490万,3室2厅 | 132.29平米 | 南 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f16f21c6-c1e9-46c2-b595-355905c6c6e3_1000.jpg.296x216.jpg
20200208,浦东,川沙,鼎鑫名流苑四房，满五年唯一，位置楼层佳；产权清晰,680万,4室2厅 | 157.78平米 | 南 北 | 精装 | 中楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a47bb366-85d3-4b07-b184-9019d0b2264c.jpg.296x216.jpg
20200208,浦东,川沙,华夏东路地铁站200米  电梯房 大户型 低单价 华夏,500万,4室2厅 | 144.64平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e4c3ef25-2915-40b1-873a-0915b1af246c.jpg.296x216.jpg
20200208,浦东,川沙,思凡花苑六街坊 简装两房户型正气 一手动迁.税费少,170万,2室1厅 | 74.41平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mnH9S6zUY_1.jpg.296x216.jpg
20200208,浦东,川沙,洼地刚需板块的精品楼盘 新造高档商品房 物业管理完善,242万,2室1厅 | 79平米 | 南 | 毛坯 | 低楼层(共11层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-8bd5d92c-069a-4d59-aed0-a65577c4bf55.png.296x216.jpg
20200208,浦东,川沙,精装四房，视野开阔+水景花园景观，产权清晰，随时看,720万,4室2厅 | 161.8平米 | 南 北 | 精装 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e9f5a31b-3225-469a-ab17-ab79307e7dd7.jpg.296x216.jpg
20200208,浦东,川沙,鼎鑫名流苑精装4房 南北户型 业主自住 诚意出售房主自荐,778万,4室2厅 | 187.16平米 | 南 | 精装 | 低楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8eb473a3-a429-40ac-8b89-e2278ce56a46_1000.jpg.296x216.jpg
20200208,浦东,川沙,天环苑三房出售中间楼层，靠凌空路，新都汇旁,272万,3室2厅 | 106.44平米 | 南 | 毛坯 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-006d2abc-18e3-448d-843b-f0f109e122d0.jpg.296x216.jpg
20200208,浦东,川沙,小区前排  一梯三户中间套 朝南主卧 简装修,265万,1室1厅 | 65.42平米 | 南 | 简装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-52c95a21-c9b5-469f-a4e0-ab58dd4af94d.jpg.296x216.jpg
20200208,浦东,川沙,此房满五唯一，边套面积大，中间楼层，采光好。,405万,4室2厅 | 137.28平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c4b35eeb-dc05-401b-9faa-37f92b5cce16_1000.jpg.296x216.jpg
20200208,浦东,川沙,单总价低 三房 满五年唯一 房东自己住 看房方便,240万,3室1厅 | 73.1平米 | 南 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6738cdba-d744-4200-bb1e-71c26740a7de_1000.jpg.296x216.jpg
20200208,浦东,川沙,钥匙房！绿海低楼层三房，户型正气清水毛坯方便装修,418万,3室2厅 | 120.8平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UD65ClZNr_1.jpg.296x216.jpg
20200208,浦东,川沙,全明户型，2路带一个小露台，边套采光好,188万,1室1厅 | 45平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sjecZzL8K_1.jpg.296x216.jpg
20200208,浦东,川沙,川沙，华夏东路站一手动迁无增值税，，小区中间位置,350万,2室2厅 | 79.25平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3dc164c5-c1b5-48d7-a63a-61d598631063.jpg.296x216.jpg
20200208,浦东,川沙,施镇公寓两房带阁楼 毛坯 户型好 诚意出售 看房方便,200万,2室1厅 | 75平米 | 南 | 毛坯 | 高楼层(共6层) | 2013年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/ed3f8872-2be8-4b30-8b23-b2d8c74cbcf1_1000.jpg.296x216.jpg
20200208,浦东,川沙,施湾新小区 小一房 楼层好 满五唯一 税费少,148万,1室1厅 | 50.4平米 | 南 | 简装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-406d89d1-b629-4478-9e89-1592ff9e39b9.jpg.296x216.jpg
20200208,浦东,川沙,小区中间位置，04年商品房，三开间朝南，南北通透,465万,3室2厅 | 132.7平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-14c6eff0-85b6-4abf-aecf-b77fd12041e7.jpg.296x216.jpg
20200208,浦东,川沙,此房满五年，钥匙房目前空关，附带天井，看房随时房主自荐,237万,2室2厅 | 71.82平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-07dfc6e0-737a-4416-be06-3629a37010e8.png.296x216.jpg
20200208,浦东,川沙,三房两卫，一手动迁，满五唯一税费少，视野开阔采光好,290万,3室2厅 | 119.49平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a653feb-1f55-40e8-ad2b-e0221dd01365.jpg.296x216.jpg
20200208,浦东,川沙,采光充足视野开阔，南北通双阳台，04年次新电梯商品房,385万,2室2厅 | 106.2平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_syDJJQCf5_1.jpg.296x216.jpg
20200208,浦东,川沙,御景ho园 中间位置，屋内空间大，景观楼层，随时看房主自荐,617万,3室2厅 | 125.97平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-62f75b94-ba39-4ca6-bbff-9d44eca01668.png.296x216.jpg
20200208,浦东,川沙,大两房，户型方正，居住舒服，拎包入住,219万,2室2厅 | 85.96平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e422b5e5-8e6c-49a4-a933-c1ad2c396a0d.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一 单价低 近地铁 有钥匙 看房请联系维护人*斌,242万,2室1厅 | 64.95平米 | 南 | 简装 | 高楼层(共4层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b756cacb-cf9d-4b0b-9bb0-4154a2380f9f.jpg.296x216.jpg
20200208,浦东,川沙,复式房大平方，楼上只算了一半面积，得房率高，随时看,350万,3室2厅 | 111.43平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2ac0d946-7b99-4cbf-a6ae-f12a5a1d2e50.jpg.296x216.jpg
20200208,浦东,川沙,2002年商品房，中间楼层，自住装修 无个税 交通便利房主自荐,445万,2室2厅 | 104.88平米 | 南 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cb3b0242-a38c-42a4-ba7c-335bd1741ea1.jpg.296x216.jpg
20200208,浦东,川沙,绿海三期满五唯一复式房+露台；房型正气，看房随时房主自荐,530万,3室2厅 | 174.74平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a7708d5-a2b2-484b-a807-b30685328b2d.jpg.296x216.jpg
20200208,浦东,川沙,上海东站旁+金顺佳苑09年小区+一楼毛坯两房,200万,2室2厅 | 84.55平米 | 南 | 毛坯 | 低楼层(共5层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LyfOe84pT_1.jpg.296x216.jpg
20200208,浦东,川沙,2008年小区，东临新都会，西靠凌空路，生活出行便捷！,225万,2室2厅 | 85.5平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7191dde3-7bf7-4a0d-86d7-e7f7a261a6aa.jpg.296x216.jpg
20200208,浦东,川沙,刚需小一房高层户型好，采光好，楼层敞亮，好改两房,242万,1室1厅 | 74.11平米 | 南 | 精装 | 高楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-23d9eacb-ad2d-455e-87eb-9de75ad9c45e.png.296x216.jpg
20200208,浦东,川沙,施湾 南北正气户型低楼层 出行方便靠凌空路,200万,2室2厅 | 76.36平米 | 南 | 毛坯 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c33aba01-6fca-48c6-986e-68078141038a.jpg.296x216.jpg
20200208,浦东,川沙,施湾两房 思凡馨苑 一手动迁 税费少 诚意出售 方便,208万,2室1厅 | 80.16平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fbd2d8a0-c639-4757-b39c-a82de054eb8f.jpg.296x216.jpg
20200208,浦东,川沙,此房满两年税费少，低楼层适合一家人居住，厨卫全明！,270万,2室2厅 | 86.02平米 | 东南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f48f1aa3-3934-4b8d-a014-a02d973e9f0b.jpg.296x216.jpg
20200208,浦东,川沙,施湾南北正气户型双卫出行方便小区中间位置无增值税,290万,3室2厅 | 118.52平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c24aa130-f9b4-407a-a2d6-28d04cea3379.jpg.296x216.jpg
20200208,浦东,川沙,河滨小区 1梯2户 自住精装 2房朝南 采光好 带小阁楼,216万,2室1厅 | 61.01平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9f749396-4e70-4262-aac0-97638b6f4185.jpg.296x216.jpg
20200208,浦东,川沙,天环苑毛坯两房带阁楼，南北户型税费低户型正 采光好,205万,2室1厅 | 76.05平米 | 南 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fBbZBLheT_1.jpg.296x216.jpg
20200208,浦东,川沙,浦东机场新小区，刚需两房环境好，一手动迁税费少。,195万,2室1厅 | 75.21平米 | 南 | 毛坯 | 高楼层(共6层) | 2013年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/d25caeeb-d493-410d-95c3-a4b42e26d5cd_1000.jpg.296x216.jpg
20200208,浦东,川沙,2005年精装带院子一房 采光好刚需户型 交通配套齐全,182万,1室1厅 | 64.6平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rWxI2wXns_1.jpg.296x216.jpg
20200208,浦东,川沙,自住精装修，保养还可以，业主诚信出售。,195万,2室1厅 | 54.32平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xmS0osJh6_1.jpg.296x216.jpg
20200208,浦东,川沙,思凡馨苑，户型方正，采光充足，房东诚意出售。,215万,2室2厅 | 81.29平米 | 南 | 毛坯 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-03b33a2a-9a65-4dd0-afb7-e8004ec04e53.png.296x216.jpg
20200208,浦东,川沙,鸿基公寓 4室2厅 378万,378万,4室2厅 | 173.68平米 | 南 | 毛坯 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-77d8c50b-4259-4165-b8d7-c5c3f381b1e4.jpg.296x216.jpg
20200208,浦东,川沙,天和3房2厅2卫，精装修高楼层，总价低位置好，采光好,399万,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9a80b4a9-4b2a-4cdd-bf7e-e3d45915284d.jpg.296x216.jpg
20200208,浦东,川沙,17年商品房，东亚启航公馆3房诚售,300万,3室1厅 | 88.53平米 | 南 | 毛坯 | 高楼层(共11层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-59c87855-b090-42a0-bf3f-5286b49a883b.jpg.296x216.jpg
20200208,浦东,川沙,沙田公寓 精致三房 中间楼层 卧室朝南采光好 交通便利,305万,3室1厅 | 87.71平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f5086836-fe9a-41c1-b61c-525a57049c94_1000.jpg.296x216.jpg
20200208,浦东,川沙,鼎鑫名流世家 2室2厅 405万,405万,2室2厅 | 89.56平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b301bd73-6268-42dc-90c8-26267eaafa6b_1000.jpg.296x216.jpg
20200208,浦东,川沙,* 精装四房，视野开阔+水景花园景观，产权清晰,698万,4室2厅 | 161.8平米 | 南 | 精装 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e99c126a-e6c3-4a43-a825-080f48f01810_1000.jpg.296x216.jpg
20200208,浦东,川沙,新小区优质三房，最南边一排采光无忧、视野好。,285万,3室2厅 | 111.52平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,https://image1.ljcdn.com/310000-inspection/f0012950-92f8-447c-a07a-fd0222c58a6b_1000.jpg.296x216.jpg
20200208,浦东,川沙,川沙2008年小区大两房，中间楼层小区外就是购物超市,220万,2室2厅 | 85.61平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8WPXuPTzE_1.jpg.296x216.jpg
20200208,浦东,川沙,园西小区大两房，双房朝南，满五唯一，诚售看房很方便,232万,2室1厅 | 58.01平米 | 南 | 精装 | 高楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_x5Mctm43S_1.jpg.296x216.jpg
20200208,浦东,川沙,施湾房间最多，价格优惠大三房，阁楼惊喜多多,280万,3室2厅 | 107.65平米 | 南 | 其他 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fpVtwEU5s_1.jpg.296x216.jpg
20200208,浦东,川沙,同济东时区 品质商品改善三房 近浦东机场和上海东站,380万,3室2厅 | 116.89平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_a2CP3ocvm_1.jpg.296x216.jpg
20200208,浦东,川沙,绿海家园 3室1厅 295万,295万,3室1厅 | 88.79平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HO8GcQFjc_1.jpg.296x216.jpg
20200208,浦东,川沙,此房中区楼层，房型正，采光好，精装修的,480万,3室2厅 | 109.31平米 | 南 | 其他 | 中楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yaIICBCyN_1.jpg.296x216.jpg
20200208,浦东,川沙,金湾佳园 3室2厅 280万,280万,3室2厅 | 106.53平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uQstTyCtW_1.jpg.296x216.jpg
20200208,浦东,川沙,鼎鑫品质小区 低总价，随时看，小区一房 位置不靠路，,255万,1室1厅 | 65.42平米 | 南 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ec42f167-9e2e-4013-82de-1e5937217fac.jpg.296x216.jpg
20200208,浦东,川沙,近观澜 楼层好 户型佳 有钥匙随时看房,210万,2室1厅 | 58.75平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c3dbceb-d20e-40ca-8299-a12411855009.jpg.296x216.jpg
20200208,浦东,川沙,瀚龙苑 满五年唯一 电梯商品房 南北通户型 可谈随时签,310万,2室2厅 | 92.89平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e6d902c4-14b4-4759-a3c6-eddc69486c12.png.296x216.jpg
20200208,浦东,川沙,沙田公寓 95年商品房 双南户型 一楼带大院子 诚售,255万,2室2厅 | 71.02平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b6671404-fee4-4013-989e-926089fae866.png.296x216.jpg
20200208,浦东,川沙,华沙二村  园西 户型正 看房随时 有钥匙,310万,2室1厅 | 94.92平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f4165cf4-ba91-4ec7-8669-21ad1da1a07f.jpg.296x216.jpg
20200208,浦东,川沙,城南小区中层钥匙房，满五年双南户型，业主诚心卖房,210万,2室1厅 | 63.12平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-38a2f039-5135-4fc6-8ffc-e601266e0437.jpg.296x216.jpg
20200208,浦东,川沙,曙光南桥小区 2室1厅 240万房主自荐,240万,2室1厅 | 68.81平米 | 南 | 精装 | 高楼层(共5层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_itlykZwwV_1.jpg.296x216.jpg
20200208,浦东,川沙,6楼带阁楼装修好，南北通，满五唯一，出行便捷。,215万,2室2厅 | 76.11平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-54dd8f6e-d6b3-4209-9025-3d33c9f830db.jpg.296x216.jpg
20200208,浦东,川沙,满五年唯一没有个税，婚房装修，拎包入住，采光加视野,229万,1室2厅 | 73.71平米 | 南 | 精装 | 中楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8cc92510-979a-4970-81bf-462632c586f6.jpg.296x216.jpg
20200208,浦东,川沙,12年电梯次新房+低总价大三房 +位置好+采光佳+税费少,425万,3室2厅 | 100.57平米 | 南 北 | 精装 | 低楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-283ea270-d736-41a6-b21c-63919f5d4cf6.jpg.296x216.jpg
20200208,浦东,川沙,刚需两房 看房随时 房东诚心出售,205万,2室1厅 | 55.54平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4c9083d0-b955-43b4-a77d-a1dc506a3e1d.jpg.296x216.jpg
20200208,浦东,川沙,佳运公寓 5房2厅1厨3卫  户型方正 装修好 视野好,880万,5室2厅 | 225.25平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c2825e9c-4db9-4ce4-a766-700414a03a64.jpg.296x216.jpg
20200208,浦东,川沙,南北正通两房  诚心业主，欢迎来撩，价格能聊到满意,299万,2室2厅 | 97.73平米 | 南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-3dfa01cb-6371-46c8-9d16-5987b4d1bbed.png.296x216.jpg
20200208,浦东,川沙,满2年，房东急售，实用三房，精致装修，拎包入住房主自荐,520万,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共20层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e6e45b26-123a-415d-bac9-92841c5edea3.jpg.296x216.jpg
20200208,浦东,川沙,自住精装修中高楼层总价低可以直接拎包入住。采光好,146万,1室1厅 | 48.8平米 | 北 南 | 简装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9e42cf95-8bfe-4a6f-a989-48bec434cdfd.jpg.296x216.jpg
20200208,浦东,川沙,绿海家园 南北两房 满五唯一免个税 诚意出售价格可谈,225万,2室1厅 | 65.5平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-26a857a3-798c-4020-bdd1-d786257e2b2b.png.296x216.jpg
20200208,浦东,川沙,城南小区 精装 两房 双南户型 诚意出售  看房方便,205万,2室1厅 | 63.12平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7f999803-41e4-45a0-ba16-881ee0392c14.jpg.296x216.jpg
20200208,浦东,川沙,2房朝南，自住装修，产权清晰，楼层高采光充足,226万,2室1厅 | 68.81平米 | 南 | 简装 | 高楼层(共5层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-00d16c72-afb9-49d2-8c56-867a7ff2dac4.jpg.296x216.jpg
20200208,浦东,川沙,航城园 4室2厅 310万,310万,4室2厅 | 162.83平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pwX5kKPDR_1.jpg.296x216.jpg
20200208,浦东,川沙,09年次新房+南北通透+大户型+精装修+诚意出售,490万,4室4厅 | 205平米 | 南 北 | 精装 | 低楼层(共12层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-11ce1164-ec34-4019-9c99-89b43cc7199e.jpg.296x216.jpg
20200208,浦东,川沙,2010年商品房，高档品质社区，环境绿化高，南北通房型,305万,2室2厅 | 97.73平米 | 南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NCRL1O0kU_1.jpg.296x216.jpg
20200208,浦东,川沙,曙光北苑，精装两房，交通便利，生活方便,355万,2室2厅 | 99.55平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-18841545-b399-493b-b5b7-46f0576095d3.jpg.296x216.jpg
20200208,浦东,川沙,顶楼带露台，位置安静，诚意出售,420万,4室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b6df0419-8acd-4f10-a0c4-a794f19a3704.jpg.296x216.jpg
20200208,浦东,川沙,三房+  园西+一手动迁+满五唯一+二楼+交通便利,323万,3室1厅 | 91.62平米 | 南 | 简装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XYpZrUDDe_1.jpg.296x216.jpg
20200208,浦东,川沙,满二年+小区央座+精装修+配套齐全+业主诚售+拎包入住,226万,2室1厅 | 67.12平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1cfc3c7c-399f-4736-935f-cbbd52d3ce25.png.296x216.jpg
20200208,浦东,川沙,满五年 税费少  房东置换诚心出售 毛坯房随意装修,151万,1室1厅 | 56.36平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bdb90128-f658-4128-9f5d-13f84f07f6ca.jpg.296x216.jpg
20200208,浦东,川沙,鼎鑫名流世家 社区安全 进出入刷卡 人车分流,600万,3室2厅 | 138.56平米 | 南 | 精装 | 低楼层(共12层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4f02fa4e-26c7-4210-8474-b02c75744c52.jpg.296x216.jpg
20200208,浦东,川沙,双阳台 室内布局合理 纯毛胚 视野好 前后没遮挡,760万,3室2厅 | 156平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a98bf68-9722-441e-9c25-7a79220b6c90.jpg.296x216.jpg
20200208,浦东,川沙,装修好+一南一北户型+房东诚意,235万,2室1厅 | 73.1平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f5a0d8c6-2eb3-4616-96a2-ee1a5de57f2e.jpg.296x216.jpg
20200208,浦东,川沙,佳洲欣苑 低楼底总价房 业主诚心出售,379万,2室2厅 | 92.78平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b096f9e9-9acb-4742-8591-03e76e46db73.jpg.296x216.jpg
20200208,浦东,川沙,天和湖滨精装修大四房，最南边一排，临河位置佳！,482万,4室2厅 | 163平米 | 南 北 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5184cd08-bf59-4905-87be-da2399c4a085.jpg.296x216.jpg
20200208,浦东,川沙,房东诚意出售此房，房屋产权清晰，无抵押，南北户型,385万,2室2厅 | 92.72平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KSEJpidI3_1.jpg.296x216.jpg
20200208,浦东,川沙,两房朝南，采光充足，中间楼层，通风良好，总价低,202万,2室1厅 | 57.69平米 | 南 | 简装 | 中楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-33091ae5-aa95-401a-b1f6-f11be33a13a0.jpg.296x216.jpg
20200208,浦东,川沙,思凡花苑六街坊 简装两房户型正气 满五唯一税费少,171万,2室1厅 | 74.23平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8045fd32-e06d-4fd9-a656-e7dee57c748f.jpg.296x216.jpg
20200208,浦东,川沙,09年次新房，房子楼层好采光佳，户型方正，房东诚售,159万,1室1厅 | 57.01平米 | 南 | 简装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qHoyynl9e_1.jpg.296x216.jpg
20200208,浦东,川沙,施湾镇电梯两房，房东自住装修，房东诚售,222万,2室1厅 | 82.32平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JUBCAU0qN_1.jpg.296x216.jpg
20200208,浦东,川沙,浦东机场好两房 09年小区 配套齐全 诚意出售,195万,2室1厅 | 76.16平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_k9VLhIFlO_1.jpg.296x216.jpg
20200208,浦东,川沙,低总价一楼，养老房，独进门，房东诚售,140万,1室1厅 | 49.52平米 | 南 | 简装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XKBFLqPAn_1.jpg.296x216.jpg
