20200208,闵行,浦江,浦江丽都，两房电梯,房型方正，南北通户型必看好房,230万,2室2厅 | 71.82平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e48a7a62-9be7-42da-9044-b92f250cece9.png.296x216.jpg
20200208,闵行,浦江,十五街坊 精装修电梯高层   视野开阔  一房优先房主自荐,280万,1室1厅 | 58.49平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EicuLPEVY_1.jpg.296x216.jpg
20200208,闵行,浦江,小区中间位置 双南户型 精装修 改动合理 利用率高,250万,2室1厅 | 75.46平米 | 南 | 精装 | 中楼层(共10层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lqxqGrSiM.jpg.296x216.jpg
20200208,闵行,浦江,两房精装全南全明户型，位置好，采光无遮挡,265万,2室1厅 | 77.32平米 | 南 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9q9tnJqou_1.jpg.296x216.jpg
20200208,闵行,浦江,2013年次新房，布局方正，近生活广场,235万,2室1厅 | 80.4平米 | 南 北 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rT1mbQjEA.jpg.296x216.jpg
20200208,闵行,浦江,水语人家  精装一房 刚需户型 拎包入住 看房随时,180万,1室1厅 | 54.89平米 | 南 | 简装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dJh3nsDFx_1.jpg.296x216.jpg
20200208,闵行,浦江,紧靠8号线联航路站南北通大两房三阳台置换诚意出售房主自荐,363万,2室1厅 | 80.15平米 | 南 北 | 精装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5odqeBJIw_1.jpg.296x216.jpg
20200208,闵行,浦江,近地铁大两房，居家装修，中间楼层，业主诚意出售,399万,2室2厅 | 91.03平米 | 南 | 毛坯 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Mi5Hyl9we_1.jpg.296x216.jpg
20200208,闵行,浦江,南北通透户型，精装修，业主诚意出售，满五年唯一,345万,2室2厅 | 77.68平米 | 南 北 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_03ji8dIqX_1.jpg.296x216.jpg
20200208,闵行,浦江,虹浦新城南区,精装两房，地铁口的商品房，诚心出售,230万,2室1厅 | 75.93平米 | 南 北 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rHVFt3cUS_1.jpg.296x216.jpg
20200208,闵行,浦江,高区景观好，户型方正，视野开阔，采光好，诚意出售,260万,2室1厅 | 77平米 | 南 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CDZOeMfuQ.jpg.296x216.jpg
20200208,闵行,浦江,虹浦新城南区，沿河景观房，户型方正，地铁口的商品房,250万,2室2厅 | 75.61平米 | 南 | 精装 | 中楼层(共9层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PxJiFNBJT.jpg.296x216.jpg
20200208,闵行,浦江,距离轨道交通300米， 大两房，中间楼层，户型正气,266万,2室2厅 | 74.77平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XCAv5zZ4N.jpg.296x216.jpg
20200208,闵行,浦江,南北通中高层两房 视野楼层很好,235万,2室2厅 | 75.93平米 | 南 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_il91NeLXl.jpg.296x216.jpg
20200208,闵行,浦江,新上前滩南+景观楼层+南北通透+产权车位+诚意出售房主自荐,590万,2室2厅 | 92.74平米 | 南 北 | 精装 | 高楼层(共13层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9Jk9WtPf5_1.jpg.296x216.jpg
20200208,闵行,浦江,这个房子是世博家园十四街坊，满五年唯一，没有个税。,390万,2室2厅 | 94.46平米 | 南 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-531220b4-902d-4ab8-9d69-e799c2625647.jpg.296x216.jpg
20200208,闵行,浦江,新动迁房小区，电梯房，厨卫分离前后无遮挡,174万,1室1厅 | 55.82平米 | 南 | 简装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-29c8fa12-512c-4a8e-b7af-d95d86bc25d9.jpg.296x216.jpg
20200208,闵行,浦江,江月路地铁站+中装修一房+税费少+诚意出售,223万,1室1厅 | 57平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-01c54e08-f6ec-4704-94d8-da2539c4caf6.jpg.296x216.jpg
20200208,闵行,浦江,洋房带电梯+ 一手纯毛坯+满五唯一,980万,3室2厅 | 158平米 | 南 | 毛坯 | 中楼层(共4层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hnjrEyt51_1.jpg.296x216.jpg
20200208,闵行,浦江,景舒苑六村 3室2厅 420万,420万,3室2厅 | 116.15平米 | 南 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kG1fFWL1H_1.jpg.296x216.jpg
20200208,闵行,浦江,中交楼层，全明南北户型，房东诚意卖房,214万,2室1厅 | 75平米 | 南 北 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-00f73b2a-d55d-48cb-adc6-6905ca442398.jpg.296x216.jpg
20200208,闵行,浦江,原动迁，70年产权，南北通，8号线旁,262万,2室2厅 | 76平米 | 南 北 | 毛坯 | 高楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-489a5864-cd70-47fd-b618-0a35942aa6d0.jpg.296x216.jpg
20200208,闵行,浦江,楼层好，采光好，交通便利，精装修,260万,2室1厅 | 76.55平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-21541176-6bc5-4fee-96d8-28676ab9f170.jpg.296x216.jpg
20200208,闵行,浦江,此房户型正，南 北 通 。楼层好。精装拎包入住,240万,2室2厅 | 73.02平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dfa01be7-d632-405e-8b67-b9dba8c00401.jpg.296x216.jpg
20200208,闵行,浦江,此房为原始动迁房，省税费、采光通风好，楼层好,255万,2室2厅 | 76.2平米 | 南 | 精装 | 中楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-96d74743-49e7-4770-ac48-9b1f453098ea.jpg.296x216.jpg
20200208,闵行,浦江,紧li地铁，漫城一期 通风采光佳，户型正，南北通房主自荐,690万,3室2厅 | 120.11平米 | 南 | 精装 | 13层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f6a3453c-120b-486f-a981-79ddfc6a8e0f.jpg.296x216.jpg
20200208,闵行,浦江,原始三房两卫 自住装修 税费少 诚心出售,670万,3室2厅 | 102.7平米 | 南 | 精装 | 中楼层(共7层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dvuHpR6xM_1.jpg.296x216.jpg
20200208,闵行,浦江,新浦江城(江栀路350弄) 2室2厅 490万,490万,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JGZyPUu6E.jpg.296x216.jpg
20200208,闵行,浦江,近城市生活广场 一手动迁少税 南北双阳台 业主诚售,355万,2室1厅 | 80.38平米 | 南 | 简装 | 低楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2be33d5f-0ec6-4eca-9239-f2343c1a70aa.jpg.296x216.jpg
20200208,闵行,浦江,08年商品房小区 配套齐全  业主诚心出售,228万,2室1厅 | 75.93平米 | 南 | 毛坯 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4sblr2frc_1.jpg.296x216.jpg
20200208,闵行,浦江,L8近距离700米，毛坯两房，电梯中高层，户型佳,253万,2室2厅 | 78.95平米 | 南 | 毛坯 | 中楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-63cec9a8-4229-4107-b3a9-26cc1e24eb3f.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁，8号线旁边，70年产权！,175万,1室1厅 | 56.75平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e545f322-bb1d-40cc-bc6f-9f9ea2b4db9e.jpg.296x216.jpg
20200208,闵行,浦江,景江苑  中间楼层大一房 采光好,260万,1室2厅 | 65.04平米 | 南 | 简装 | 中楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_T41FWS6Z7_1.jpg.296x216.jpg
20200208,闵行,浦江,双南户型。中等楼层，户型方正，原始动迁，交通便利,215万,2室1厅 | 77.33平米 | 南 | 毛坯 | 中楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b9d448f7-7f6a-4842-a394-10b0df6ccea8.jpg.296x216.jpg
20200208,闵行,浦江,自住精装一房，业主诚心出售··,165万,1室1厅 | 55平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-336cfca3-0481-48c2-8d45-003836a3c4a2.jpg.296x216.jpg
20200208,闵行,浦江,诚心出售，价格可谈，小区环境优美，精装修。,251万,2室1厅 | 76.4平米 | 南 北 | 精装 | 高楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e1f26761-f11e-4338-badb-8d0be5d376e3.jpg.296x216.jpg
20200208,闵行,浦江,虹浦新城  精装两房 看房方便,249万,2室1厅 | 76.86平米 | 南 | 简装 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DVZ7YZhMH_1.jpg.296x216.jpg
20200208,闵行,浦江,边套全明，采光佳，可看小区花园，2+1房型。,540万,2室2厅 | 92.47平米 | 南 | 简装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mW9IY3O38_1.jpg.296x216.jpg
20200208,闵行,浦江,总高五楼的花园洋房，中间楼层，装修好，格局方正,906万,4室2厅 | 151平米 | 南 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f4b96f3c-bf50-43fd-bcbc-2e0435b5ce82.jpg.296x216.jpg
20200208,闵行,浦江,浦江世博家园四街坊 3室2厅 520万,520万,3室2厅 | 108平米 | 南 | 其他 | 中楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GKh7XktT4_1.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁 南北房型 方正通风好，小区位置好，面朝花园,242万,2室2厅 | 80.52平米 | 南 | 简装 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-298606be-30f1-4eb6-90e9-b1bb9646413e.jpg.296x216.jpg
20200208,闵行,浦江,改动性大，随时可看，非一楼，诚心出售,218万,2室1厅 | 76.51平米 | 南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-48da41f3-4764-415d-92ee-f3a758461070.jpg.296x216.jpg
20200208,闵行,浦江,大户型下叠复式东边套 花园大 采光好 地下室采光房主自荐,1400万,5室2厅 | 330平米 | 南 | 精装 | 低楼层(共4层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5df94896-6b70-4935-93e6-fde58fd03289.jpg.296x216.jpg
20200208,闵行,浦江,近地铁，交通方便，精装修，小区环境好,180万,1室1厅 | 55.24平米 | 南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a1359e1d-8623-4b37-bbf6-a5d1050f5ebb.jpg.296x216.jpg
20200208,闵行,浦江,金硕河畔景园东区 2室2厅 220万,220万,2室2厅 | 72.15平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b3e08555-a60a-43ce-99b3-eb56c19649a2.jpg.296x216.jpg
20200208,闵行,浦江,瑞和新苑浦涛路399弄 2室2厅 238万,238万,2室2厅 | 76.4平米 | 南 | 精装 | 高楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_708zTDYqC_1.jpg.296x216.jpg
20200208,闵行,浦江,税费比较少，房东置换，看中价格可谈，房东诚意卖房,227万,2室2厅 | 74.41平米 | 南 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qnHLUwDoW.jpg.296x216.jpg
20200208,闵行,浦江,景观楼层无遮挡 精装修 视野开阔  配套成熟 出行便利,250万,2室1厅 | 75.84平米 | 南 北 | 精装 | 中楼层(共17层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8ixrqZEQR.jpg.296x216.jpg
20200208,闵行,浦江,聚缘南庭+中间楼层+精装修+看房方便,217万,2室2厅 | 74.35平米 | 南 | 简装 | 中楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9pZViNJNO.jpg.296x216.jpg
20200208,闵行,浦江,近地铁三鲁公路站900米+南北通+中间楼层+诚心出售,225万,2室2厅 | 74.28平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bcNa7dFH4.jpg.296x216.jpg
20200208,闵行,浦江,浦江世博家园十三街坊 2室2厅 430万,430万,2室2厅 | 87.04平米 | 南 | 精装 | 高楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_roKwau038_1.jpg.296x216.jpg
20200208,闵行,浦江,水语沿河景观精装两房，高区非顶楼，采光通风都很好房主自荐,268万,2室1厅 | 77.11平米 | 南 | 精装 | 高楼层(共17层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_t8VGYgubB_1.jpg.296x216.jpg
20200208,闵行,浦江,精装1房、可以直接拎包入住，仅靠满天星生活广场,178万,1室1厅 | 55.88平米 | 南 | 精装 | 高楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8Eh8Eqq1h.jpg.296x216.jpg
20200208,闵行,浦江,地铁沿线精装房，交通便利配套完善，水语热门小区,258万,2室1厅 | 73.65平米 | 南 北 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ePsLWhPur_1.jpg.296x216.jpg
20200208,闵行,浦江,楼层好，精装修，近地铁，拎包入住。,260万,2室1厅 | 80.05平米 | 东南 | 精装 | 高楼层(共17层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SopJaYdkC_1.jpg.296x216.jpg
20200208,闵行,浦江,中高楼层，方正户型，视野开阔，门口就是地铁站,275万,2室2厅 | 75.76平米 | 南 北 | 毛坯 | 中楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SRNcvgOc4.jpg.296x216.jpg
20200208,闵行,浦江,装修好楼层，满五唯一，近地铁交通方便,260万,2室1厅 | 75.64平米 | 南 北 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0caShPoEF_1.jpg.296x216.jpg
20200208,闵行,浦江,精装修，近地铁，业主自住，诚意出售房主自荐,375万,2室2厅 | 79.07平米 | 南 | 精装 | 高楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vkxX5dmsw_1.jpg.296x216.jpg
20200208,闵行,浦江,精装 南北通户型 税费少 楼层好 采光无忧,240万,2室2厅 | 74.47平米 | 南 | 毛坯 | 中楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ti549EkKJ_1.jpg.296x216.jpg
20200208,闵行,浦江,小区是11年次新房，距离地铁近，交通便利,255万,2室2厅 | 75.07平米 | 南 | 简装 | 中楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fljztTRRk.jpg.296x216.jpg
20200208,闵行,浦江,此房是电梯一房， 一改二的户型，楼层采光比较好,288万,1室1厅 | 58.03平米 | 南 | 简装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mBy7Xfbp1_1.jpg.296x216.jpg
20200208,闵行,浦江,汇秀景苑三街坊 2室1厅 235万,235万,2室1厅 | 77.15平米 | 南 | 毛坯 | 中楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7u7mt5uVA_1.jpg.296x216.jpg
20200208,闵行,浦江,离闵瑞路地铁站只有30米，两房朝南，大阳台，采光好,238万,2室1厅 | 76.85平米 | 南 | 毛坯 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_O2kvQUoD7_1.jpg.296x216.jpg
20200208,闵行,浦江,环境优美宜居住；生活方便购物易；交通方便出行易。,205万,2室1厅 | 75.04平米 | 南 北 | 毛坯 | 低楼层(共7层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fd15HI9nm_1.jpg.296x216.jpg
20200208,闵行,浦江,M8联航路 浦江世博家园电梯房 中楼层 一手动迁,300万,1室1厅 | 62.17平米 | 南 北 | 简装 | 中楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dthmIGAjy_1.jpg.296x216.jpg
20200208,闵行,浦江,瑞和新苑浦涛路399弄 2室1厅 255万,255万,2室1厅 | 74.53平米 | 南 北 | 精装 | 中楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_46ZF3MqAD.jpg.296x216.jpg
20200208,闵行,浦江,户型方正，南北直通，采光好，4A级古镇辐射范围,250万,2室2厅 | 79.94平米 | 南 北 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6Wxkc3Qrk.jpg.296x216.jpg
20200208,闵行,浦江,此房沿河靠地铁，小区环境优美，房型正气大方,240万,2室2厅 | 72.93平米 | 南 | 毛坯 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Kad2PzSwi.jpg.296x216.jpg
20200208,闵行,浦江,南北通次顶楼，采光无遮挡，原始动迁税费少,222万,2室1厅 | 74.56平米 | 南 北 | 毛坯 | 高楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FDwmtv05M.jpg.296x216.jpg
20200208,闵行,浦江,全南户型，采光充足，原始动迁，没有户口抵押,260万,2室2厅 | 78.99平米 | 南 | 毛坯 | 中楼层(共7层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KvMhs8bEJ.jpg.296x216.jpg
20200208,闵行,浦江,楼层高采光好、看房方便提前约、出入方便,配套齐全,260万,2室1厅 | 76.55平米 | 南 北 | 其他 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PaChrC2qT_1.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁房，满五年不唯一，无增值税，南北通户型,299万,2室2厅 | 74.45平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Hz5hAVFeZ_1.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁，无增值税，采光好，精装修,170万,1室1厅 | 55.65平米 | 南 | 精装 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QSEQp2BHM_1.jpg.296x216.jpg
20200208,闵行,浦江,商品房小区，房源质量有保证。小区花园位子中间楼层。,180万,1室1厅 | 55.47平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MDyJ93DQp_1.jpg.296x216.jpg
20200208,闵行,浦江,浦江瑞和新苑刚需一房真实在售，等你来撸,180万,1室1厅 | 54.73平米 | 南 | 精装 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RGJqoq7xN_1.jpg.296x216.jpg
20200208,闵行,浦江,无增值税， 个税1个点 契税首套1个点二套3个点,230万,2室2厅 | 77.48平米 | 南 北 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KH7ReKF7m_1.jpg.296x216.jpg
20200208,闵行,浦江,浦江宝邸330弄南北通两房业主诚心出售,274万,2室2厅 | 78.52平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GAgEO47Kq.jpg.296x216.jpg
20200208,闵行,浦江,浦润苑 2室2厅 245万,245万,2室2厅 | 82.71平米 | 南 | 毛坯 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1RHlc5g3E.jpg.296x216.jpg
20200208,闵行,浦江,八街坊 M8江月路 中间楼层 居家两房,352万,2室1厅 | 75.87平米 | 南 | 其他 | 中楼层(共4层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eRbTmblwF_1.jpg.296x216.jpg
20200208,闵行,浦江,水语南苑特有多层南北户型，地铁沿线业主诚意出售,252万,2室1厅 | 73.18平米 | 南 北 | 精装 | 高楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kQFTjAJo0_1.jpg.296x216.jpg
20200208,闵行,浦江,瑞和新苑江航路60弄 2室2厅 235万,235万,2室2厅 | 72.87平米 | 南 | 毛坯 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_djNI3Jfh5_1.jpg.296x216.jpg
20200208,闵行,浦江,总高7楼带电梯中间楼层得房率高i，急！急！急！,179.5万,1室1厅 | 57.3平米 | 南 | 毛坯 | 中楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-71d8b8e8-4ca3-4aa1-b795-afdef9e86724.jpg.296x216.jpg
20200208,闵行,浦江,200米地铁，一房南通，通风效果棒,171万,1室1厅 | 49.15平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_L54MAbR3A_1.jpg.296x216.jpg
20200208,闵行,浦江,近联航路、智汇园臻美小户型、景观楼层、交通便利,370万,1室1厅 | 81.03平米 | 南 | 毛坯 | 高楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Zh0WhIHhO_1.jpg.296x216.jpg
20200208,闵行,浦江,精装三房大平层，南北通，附大露台,980万,3室2厅 | 170.68平米 | 南 北 | 精装 | 高楼层(共4层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SyZVqv3Hb_1.jpg.296x216.jpg
20200208,闵行,浦江,房子不靠马路+三开间朝南带露台+8号线直线距离350米,720万,3室2厅 | 112.5平米 | 南 北 | 简装 | 高楼层(共7层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9j2RgGrTe_1.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁，免征增值税，次新小区，古镇辐射范围,280万,2室2厅 | 110平米 | 南 北 | 毛坯 | 低楼层(共24层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_E6uuJmwbP_1.jpg.296x216.jpg
20200208,闵行,浦江,2014年新小区，小三房，景观楼层,315万,3室2厅 | 103.67平米 | 南 北 | 毛坯 | 中楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8WYpKMFEl_1.jpg.296x216.jpg
20200208,闵行,浦江,浦江世博家园十五街坊，中间楼层，业主诚意出售,345万,2室2厅 | 75.46平米 | 南 | 简装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0958b587-1296-4d04-bb56-44398680c8a8.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁满五年唯一，电梯高层，视野好，采光充足,280万,1室1厅 | 58.49平米 | 南 | 简装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d9fa326e-4221-4ad0-b09a-51fa5297bf0b.jpg.296x216.jpg
20200208,闵行,浦江,8号线芦恒路站，南北大三房，全景落地窗，价格可谈,829万,3室2厅 | 133.88平米 | 南 | 简装 | 中楼层(共12层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dot33gfKZ_1.jpg.296x216.jpg
20200208,闵行,浦江,8号线延伸段商品房，得房率高，南北通精装拎包入住,225万,2室2厅 | 72.87平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_X2j3TROvC_1.jpg.296x216.jpg
20200208,闵行,浦江,自住精装修，房东诚心卖，地铁750米,190万,1室1厅 | 55.43平米 | 南 | 精装 | 中楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fef0bc4e-11a7-43c8-a2c9-a75e49bf6df4.png.296x216.jpg
20200208,闵行,浦江,聚缘中庭，带露台税费少，看房方便，维护人可随时联系,165万,1室1厅 | 56.38平米 | 南 | 毛坯 | 低楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_O55t5Bu3Y.jpg.296x216.jpg
20200208,闵行,浦江,多层住宅， 新装修，南北通，采光通风好，沿河景观房主自荐,240万,2室1厅 | 75.49平米 | 南 | 简装 | 中楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FmjSV915F.jpg.296x216.jpg
20200208,闵行,浦江,生活便利，交通方便，小区中间位置，南北通透。,210万,2室1厅 | 74.89平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ec1T68hzD_1.jpg.296x216.jpg
20200208,闵行,浦江,小区中位置，沿河景观，中间楼层，南北通透。,215万,2室1厅 | 74.78平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cBIHjG9DO.jpg.296x216.jpg
20200208,闵行,浦江,欣佳宝邸(南区) 2室2厅 210万,210万,2室2厅 | 74.97平米 | 南 北 | 精装 | 低楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_imecbYmTV_1.jpg.296x216.jpg
20200208,闵行,浦江,南北格局，户型方正，看房方便（有钥匙，随时看）,245万,2室2厅 | 76.05平米 | 南 | 简装 | 低楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0ir63hGO1.jpg.296x216.jpg
20200208,闵行,浦江,浦江世博家园十四街坊 精装大三房 户型方正 南北通透,530万,3室2厅 | 127.16平米 | 南 北 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4fd5fade-fdd8-4ac4-8670-c3a29cbb11b8.jpg.296x216.jpg
