20200208,浦东,世博,视野宽阔，采光充足，交通便利，配套齐全必看好房,363万,3室0厅 | 66.41平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-291e8560-2904-41af-a71e-0cb192ddf755.jpg.296x216.jpg
20200208,浦东,世博,此房满二唯一，楼层好，采光充足，精装修 拎包入住,204万,1室1厅 | 37.22平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1oTo84ZGU_1.jpg.296x216.jpg
20200208,浦东,世博,双南两房，户型方正，中间楼层，房东诚意出售,280万,2室1厅 | 48.1平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_krqtJLUSV_1.jpg.296x216.jpg
20200208,浦东,世博,精装一房 满五唯一 采光通风好 全明户型,327万,1室1厅 | 54.62平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_y9KFBuasN_1.jpg.296x216.jpg
20200208,浦东,世博,此房满五唯一不靠路，采光充足，房东诚意价格可谈。房主自荐,268万,2室2厅 | 52.74平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PvvaXbpvO_1.jpg.296x216.jpg
20200208,浦东,世博,小区中间位置，东边套带窗户型，近地铁8/13号线。,396万,3室0厅 | 64.55平米 | 南 北 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e214e429-38eb-4497-ab8f-8c5e9e6aa1bf_1000.jpg.296x216.jpg
20200208,浦东,世博,中国馆双南电梯两房 7号线云台8号线耀华,410万,2室1厅 | 68.36平米 | 南 | 简装 | 低楼层(共12层) | 1988年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/09f29a68-f78d-438c-970a-8cde35ca7d19_1000.jpg.296x216.jpg
20200208,浦东,世博,地铁口 次顶层 电梯双南向两房，视野开阔，满五唯一,445万,2室1厅 | 72.31平米 | 南 | 简装 | 高楼层(共16层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/165dad4a-bc48-4e6d-b3f5-bb12f301fc2a_1000.jpg.296x216.jpg
20200208,浦东,世博,满五唯一而税少，精心装修而可居！,290万,2室1厅 | 50.47平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6d7b556f-8c0f-4eb1-a5da-b2be9c23ac9b_1000.jpg.296x216.jpg
20200208,浦东,世博,昌五小区 中间楼层一房一厅 采光好房主自荐,198万,1室1厅 | 37.7平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xHN1Wpn8Y_1.jpg.296x216.jpg
20200208,浦东,世博,世博后滩7.13号地铁长清路站，2001年商品房环境好,365万,1室1厅 | 57.78平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/80bfcb6c-86f6-42d5-9d9b-e5b44f3b968d_1000.jpg.296x216.jpg
20200208,浦东,世博,昌五小区 一梯两户 南北两房厅有阳台 业主诚意出售,305万,2室1厅 | 55.58平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Bwxfa2aiU_1.jpg.296x216.jpg
20200208,浦东,世博,空间集中小户型，可塑性高，近菜市场、近昌里东路,189万,1室1厅 | 37.22平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1J66fvHaP_1.jpg.296x216.jpg
20200208,浦东,世博,南北两房+中间楼层+地铁双轨7/13号线长清路站,280万,2室1厅 | 50.99平米 | 南 北 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_q9Zyehs2g_1.jpg.296x216.jpg
20200208,浦东,世博,济阳一村   精装三楼   一梯两户   小区环境好,230万,1室1厅 | 42.3平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZAv6stu1c_1.jpg.296x216.jpg
20200208,浦东,世博,低总价.不临路.小巧一居室.新改造小区,185万,1室1厅 | 40.89平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C1rzekfhj_1.jpg.296x216.jpg
20200208,浦东,世博,婚房装修，拎包入住.诚心出售。看房方便，,298万,2室1厅 | 56.78平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Uu0VQNDi7_1.jpg.296x216.jpg
20200208,浦东,世博,上钢八九村 2室1厅 258万,258万,2室1厅 | 47.54平米 | 南 | 其他 | 中楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OXNSDNUuB_1.jpg.296x216.jpg
20200208,浦东,世博,上南花苑三期，小区中间位置，户型正气，全明两房房主自荐,700万,2室2厅 | 93.4平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d8c58672-42ce-4a30-b810-1164e7485703_1000.jpg.296x216.jpg
20200208,浦东,世博,舒适一室一厅，近地铁，中等楼层，满五唯一,293万,1室1厅 | 48.92平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HIPVtaTNl_1.jpg.296x216.jpg
20200208,浦东,世博,云台二小区 2室2厅 400万,400万,2室2厅 | 72.05平米 | 南 | 其他 | 高楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_Gx1FLgX4D_1.jpg.296x216.jpg
20200208,浦东,世博,次新小区电梯三房，精装带有新风系统房主自荐,688万,3室1厅 | 110.95平米 | 南 | 精装 | 低楼层(共24层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-1eaf552b-03ab-46a7-ab2e-3b86fdc7651c.jpg.296x216.jpg
20200208,浦东,世博,长清路好楼层好位置看房方便.......,370万,2室1厅 | 67.68平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4f4ff401-c6c0-46c9-b1e4-33dc3b9f151e.jpg.296x216.jpg
20200208,浦东,世博,一梯三户，房型是南北的，采光很好，视野宽阔,274万,2室1厅 | 55.24平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/40257994-ea98-49ed-8e0e-023b61f2e41b_1000.jpg.296x216.jpg
20200208,浦东,世博,位置好 楼层佳，近地铁，生活配套齐全，,218万,1室1厅 | 39.46平米 | 南 | 简装 | 中楼层(共5层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e88cf1cf-780e-4cf5-b2a1-d3e3aeca6624_1000.jpg.296x216.jpg
20200208,浦东,世博,四轨交汇，经典一室户，中间楼层，配套齐全,189万,1室1厅 | 34.62平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f745d95c-95bd-4b26-8d88-d17aff4d7218.jpg.296x216.jpg
20200208,浦东,世博,双南正气两房，业主诚意出售，房子空关，可提前交房,288万,2室1厅 | 57.19平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rhOmKzQqj_1.jpg.296x216.jpg
20200208,浦东,世博,六里二村  两房朝南 全明户型  有钥匙随时可看,388万,2室1厅 | 67.79平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qxRJ7TRd1_1.jpg.296x216.jpg
20200208,浦东,世博,独门独户，一房一厅，有钥匙，随时看，近7.8.13号线,225万,1室1厅 | 39.46平米 | 南 | 简装 | 低楼层(共6层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_faIavzOuv_1.jpg.296x216.jpg
20200208,浦东,世博,此房一梯四户户，南北通。看房随时。业主诚心出售.,289万,2室1厅 | 52.63平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zK3trI3zj_1.jpg.296x216.jpg
20200208,浦东,世博,世博板块 满五唯一，交通便利,一楼带天井,205万,1室1厅 | 39.72平米 | 南 | 毛坯 | 低楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oXJPuEDbm_1.jpg.296x216.jpg
20200208,浦东,世博,云台二小区 2室1厅 358万,358万,2室1厅 | 61.44平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9e03fe9e-db1c-4b1d-8e7e-55062a7ca40c.jpg.296x216.jpg
20200208,浦东,世博,高区景观房  业主自住 可拎包入住，高价装修,580万,2室1厅 | 86.46平米 | 南 | 精装 | 中楼层(共24层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-7cad3ab5-5017-40eb-8158-a94afc898597.jpg.296x216.jpg
20200208,浦东,世博,满五唯一税费少+中间楼层+交通便利+精装修房主自荐,220万,1室1厅 | 36.77平米 | 南 北 | 精装 | 中楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e528227c-0183-4d8f-bd05-92a91646614c_1000.jpg.296x216.jpg
20200208,浦东,世博,东边套全明户型、一室一厅、近地铁、采光好,230万,1室1厅 | 40.6平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d1692a78-11eb-41aa-b173-447345ca6374_1000.jpg.296x216.jpg
20200208,浦东,世博,逸翠公馆 2室1厅 479万,479万,2室1厅 | 66.55平米 | 西南 | 精装 | 高楼层(共24层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-baa1e4f2-b3f3-4e2a-850b-75f6c41faff1.png.296x216.jpg
20200208,浦东,世博,满五唯一，地铁6/8/13号线 ，采光好，后有川杨河,300万,2室1厅 | 58.11平米 | 东南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-25a7644a-abee-4c9d-bf2b-b979becdcab5.png.296x216.jpg
20200208,浦东,世博,上南一村独院精装一房，户型全明,244万,1室1厅 | 36平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-50bf3eab-7b28-4efa-9740-bd3d501abcdb.jpg.296x216.jpg
20200208,浦东,世博,耀华地铁 坐北朝南 适合过渡 闹中取静,610万,3室1厅 | 109.38平米 | 南 | 简装 | 高楼层(共16层) | 1989年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-79d1573c-5420-4ffd-8405-f23ee8cc637b.jpg.296x216.jpg
20200208,浦东,世博,精装修、可拎包入住，看房方便、位于小区位置不靠路,275万,2室1厅 | 56平米 | 南 北 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e3f16bed-0f68-4636-bbe2-d507bfc22043.jpg.296x216.jpg
20200208,浦东,世博,两室一厅的电梯房，近地铁，近公交站，诚意出售,340万,2室1厅 | 66.64平米 | 南 | 精装 | 低楼层(共18层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-1e7932ac-99fa-4ba5-bde3-ff3fd83a3897.jpg.296x216.jpg
20200208,浦东,世博,德州五村 世博板块精装2房2厅 附15平天井和衣帽间,298万,2室2厅 | 52.68平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-68f83f11-774e-4d4a-9397-03196b191a4f.jpg.296x216.jpg
20200208,浦东,世博,交通便利，南北通户型，采光通风很好,315万,2室1厅 | 62.44平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4ca0e474-612a-4163-830e-459118062890.jpg.296x216.jpg
20200208,浦东,世博,小区中间位置，3楼、2001年商品房，板式南北通三房,785万,3室2厅 | 128.9平米 | 南 北 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_huN2fxVBN_1.jpg.296x216.jpg
20200208,浦东,世博,红莲小区楼层高区采光好单价低靠7号杨高南路地铁站房主自荐,428万,2室2厅 | 86.78平米 | 西南 西 | 简装 | 高楼层(共25层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-ce1ad5d3-3623-4e68-9fab-99eee03b0192.png.296x216.jpg
20200208,浦东,世博,世博板块，东盛公寓，房龄较新，中层双南户型诚意出售,373万,2室2厅 | 71.09平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6c202e7c-f048-4b82-ab32-6f88314d4d8f.png.296x216.jpg
20200208,浦东,世博,全南一室户带厅朝南，厨卫全明户型，中间楼层采光好,258万,1室1厅 | 44.99平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6dac16ca-9356-4906-b69d-bc9fe9ec4b73.png.296x216.jpg
20200208,浦东,世博,精装修 四轨交汇 东边套全明 南北通 一室一厅,239万,1室1厅 | 42.78平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/811bb259-520f-4efb-94da-d7f756403318_1000.jpg.296x216.jpg
20200208,浦东,世博,满五，小区绿化高，6/8/13线，产权清晰，有钥匙随时看,179万,1室1厅 | 37.08平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zzyANmTLi_1.jpg.296x216.jpg
20200208,浦东,世博,位置好，采光好，楼层佳，满五，交通便利房主自荐,226万,1室1厅 | 44.27平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NatqKYtW4_1.jpg.296x216.jpg
20200208,浦东,世博,此房是南北两房简装，可拎包入住，地理位置优越,318万,2室1厅 | 53.63平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/13d7b6ff-65e7-4dfb-bcec-810fec933383_1000.jpg.296x216.jpg
20200208,浦东,世博,地铁南北俩房，有钥匙，看房随时,298万,2室1厅 | 54.08平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jbaFVBZkL_1.jpg.296x216.jpg
20200208,浦东,世博,东明苑通透一房 位置好楼层佳 房东诚意出售 看房随时,220万,1室1厅 | 43.73平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3YbcAbsol_1.jpg.296x216.jpg
20200208,浦东,世博,6/13号线 房龄新 楼层佳 停车方便 税少 有钥匙 诚意,335万,2室1厅 | 59平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uknKx4BpQ_1.jpg.296x216.jpg
20200208,浦东,世博,世博板块，昌五小区， 一房一厅，看房方便。,188万,1室1厅 | 37.22平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7tnZEFeFJ_1.jpg.296x216.jpg
20200208,浦东,世博,济阳新村，低层舒适两房，近耀华路主干道，交通很便利,320万,2室1厅 | 69.9平米 | 南 | 简装 | 低楼层(共18层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-69016c83-d9f3-4087-be04-09ac9325e71b.png.296x216.jpg
20200208,浦东,世博,齐七小区 楼层好采光好 97年房龄 靠6、7号地铁,285万,1室1厅 | 49.23平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-133c5ee4-a000-4259-aecb-63d1d59731f3.jpg.296x216.jpg
20200208,浦东,世博,8/13双线交通，南朝川杨河，北对小区花园位置，视野好房主自荐,265万,2室1厅 | 54.69平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-491f1ee5-0c82-40aa-9690-8fa6d3e7353b.jpg.296x216.jpg
20200208,浦东,世博,此房满二 ，楼层好，装修好，楼层低，税费少,365万,2室1厅 | 68平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,https://image1.ljcdn.com/310000-inspection/test-4722aaa8-1fa3-4b18-940e-b7c316d46062.png.296x216.jpg
20200208,浦东,世博,昌四小区 6/13号线东明路站 5楼采光好 诚心出售！,170万,1室0厅 | 30.45平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gCpr3bg9F_1.jpg.296x216.jpg
20200208,浦东,世博,复式房，景观视野，俯瞰后滩、陆家嘴，与世博源为邻。,850万,2室2厅 | 97.44平米 | 南 | 简装 | 高楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/32ad76b1-1cf6-4a3a-9bc8-c8da24d24afb_1000.jpg.296x216.jpg
20200208,浦东,世博,昌四小区 楼层好采光好 靠6、13号地铁 诚心出售,297万,2室1厅 | 59.7平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AdQAMf7U0_1.jpg.296x216.jpg
20200208,浦东,世博,昌四小区 中间楼层 采光好 环境棒 居家好房,300万,2室1厅 | 60.86平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_O1rGEqQYX_1.jpg.296x216.jpg
20200208,浦东,世博,房屋自住，看房提前预约。。。。,1080万,3室2厅 | 133.5平米 | 南 | 简装 | 低楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2G5uLDvGj_1.jpg.296x216.jpg
20200208,浦东,世博,南北户型佳，高科西路6/7号线地铁站。,330万,2室1厅 | 56.69平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_z4TadOOwm_1.jpg.296x216.jpg
20200208,浦东,世博,接受置换，产权清晰，非顶楼，满五税少，急售,630万,2室2厅 | 99.06平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2bd53a0b-df4c-41b5-bc2d-00bb7f2c0fdb.jpg.296x216.jpg
20200208,浦东,世博,双轨地铁口的大三房，自带26平大花园，悠然自得,788万,3室2厅 | 109.19平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-53481da7-cede-4916-8130-539166b51c09.jpg.296x216.jpg
20200208,浦东,世博,面积大，南北通透，采光好，视野开阔，拎包入住。房主自荐,345万,2室2厅 | 73.04平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0dfc4e1a-8d3f-415e-aad3-8a7490435b8f.jpg.296x216.jpg
20200208,浦东,世博,厨卫全明，南北户型高区采光好，看房提前预约价格可谈,278万,2室1厅 | 57.58平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a135c1e1-dda6-431c-be64-df6e9b454c66.jpg.296x216.jpg
20200208,浦东,世博,世博板式三房 两南一北 全明户型 视野开阔 楼层佳,428万,3室1厅 | 73.92平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ea80a099-2e15-46e4-92f4-453444a726fe.jpg.296x216.jpg
20200208,浦东,世博,上南大厦+售后公房+中区楼层+电梯二房带客厅,443万,2室1厅 | 80平米 | 西南 | 其他 | 低楼层(共24层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-ebd2c9f8-704c-43ca-abda-999d0266ef6e.jpg.296x216.jpg
20200208,浦东,世博,满五唯一税费少，一楼宜居诚心售,195万,1室1厅 | 34.04平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_d7LdcWTem_1.jpg.296x216.jpg
20200208,浦东,世博,满五唯一，交通便利，设施齐全，装修精良,210万,1室1厅 | 42.37平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3ea5b722-334f-48a6-acea-c5ce0fd92696_1000.jpg.296x216.jpg
20200208,浦东,世博,电梯两房  满五唯一  配套齐全  近8/13号线,410万,2室1厅 | 77.72平米 | 东 | 简装 | 低楼层(共10层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a008012a-6efa-4150-9e35-420ea2953112_1000.jpg.296x216.jpg
20200208,浦东,世博,地铁口 电梯房 中高楼层 配套齐全,275万,1室0厅 | 48平米 | 东 | 简装 | 中楼层(共24层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_bucPDerzA_1.jpg.296x216.jpg
20200208,浦东,世博,这套房子满五，一手动迁税费少，诚意出售,510万,3室1厅 | 90.2平米 | 南 北 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-61ce5cef-1e70-468c-b247-e158b6c0f5a2.jpg.296x216.jpg
20200208,浦东,世博,一梯两户》7/13双轨交通/南北户型/三分之二唯一,330万,2室1厅 | 56.7平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,https://image1.ljcdn.com/310000-inspection/6ce386fd-7085-49d6-b52e-b805c229d20a_1000.jpg.296x216.jpg
20200208,浦东,世博,双南正气全明两房 采光好 视野好  环境清静 税费自理房主自荐,336万,2室1厅 | 65.49平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rlpRyftlP_1.jpg.296x216.jpg
20200208,浦东,世博,近双轨地铁，视野开阔，采光充足，交通便利，配套完善,162万,1室0厅 | 30.45平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1e0878f0-ebd1-4d2c-ab97-cb9de3fe701f.jpg.296x216.jpg
20200208,浦东,世博,南北两房 房东诚心出售 精装修 配套齐全,325万,2室1厅 | 67.68平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,https://image1.ljcdn.com/310000-inspection/test-39515d5a-18fb-4bd0-b4a9-0972eceabcfe.png.296x216.jpg
20200208,浦东,世博,长清路地铁站~上钢十村精装南北两房一厅急售,260万,2室1厅 | 49.41平米 | 南 北 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-49e34391-37cc-4bb2-83bf-2e5fc9fdac2a.jpg.296x216.jpg
20200208,浦东,世博,世博板块 8/13号双轨 临河景观房 一梯两户 居家装修!,325万,2室1厅 | 60.71平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2e3ca99d-2957-4cc0-97f4-3d7c434c3c10.jpg.296x216.jpg
20200208,浦东,世博,房型正气，出行便利，全明户型，满五唯一税费少,898万,3室2厅 | 126.09平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-2befc88b-1010-437d-a8a3-2d61850326e3.png.296x216.jpg
20200208,浦东,世博,满五年不唯一 一手买进 小区位置佳 一梯两户,620万,2室2厅 | 99.58平米 | 南 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3743e3ef-bd86-4379-bd4d-ec3df0f7d4f1.jpg.296x216.jpg
20200208,浦东,世博,地铁近400米，总价低，南北全明，小区中间位置,320万,2室1厅 | 56.95平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f2c3849a-2590-4720-927f-5dc8823c764e.jpg.296x216.jpg
20200208,浦东,世博,满五不唯一 采光通风好 业主诚意卖,174万,1室0厅 | 36.47平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RU6B53BEO_1.jpg.296x216.jpg
20200208,浦东,世博,首付75万入住世博园区 双地铁500米交汇 满五税费少,210万,1室0厅 | 40.17平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bbfa1de2-8e8d-4678-9db6-e8c591c4a99a_1000.jpg.296x216.jpg
20200208,浦东,世博,8/3号线成山路，世博一房，适合自住，出租,197万,1室1厅 | 37.32平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/54f09ee7-1472-4738-b33a-93eb7aee3f21_1000.jpg.296x216.jpg
20200208,浦东,世博,此房满五唯一!南北通格局，采光充足，非顶层房主自荐,205万,1室1厅 | 42.22平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uJMBkXC83_1.jpg.296x216.jpg
20200208,浦东,世博,楼层好，视野无遮挡，配套齐全，交通便利,随时看房,191万,1室1厅 | 32.42平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ac7fcd00-0738-4267-a0b7-2754d7c37553_1000.jpg.296x216.jpg
20200208,浦东,世博,满五唯一 中间楼层 采光比较充足,306万,2室1厅 | 59.35平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-008e9db4-2be2-4e59-9451-cd952dd23516.png.296x216.jpg
20200208,浦东,世博,四轨交汇 大两房 中间楼层 南北通 业主急售,300万,2室1厅 | 55.53平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IyZrM7DL4_1.jpg.296x216.jpg
20200208,浦东,世博,此房满五年的，小区门口即是8/13号线地铁，简装修,235万,1室1厅 | 43平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0abcd510-4837-4051-b1af-6714264adf3a.jpg.296x216.jpg
20200208,浦东,世博,上南五村 2室1厅 291万,291万,2室1厅 | 49.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ea2fd91d-f89f-4a6b-bee2-60b35df46ca8.png.296x216.jpg
20200208,浦东,世博,97万首付买世博全明两房，产权清晰满五唯一，随时可看,265万,2室1厅 | 51.61平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-250406eb-f79d-4548-ad63-dc86e0fff5b9.jpg.296x216.jpg
20200208,浦东,世博,恒大小区，房改售房，税费少，交通便利，高层采光好房主自荐,410万,2室1厅 | 78.87平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b7d876c0-384a-433f-992b-eab8d591d015.jpg.296x216.jpg
20200208,浦东,世博,东盛公寓，小两房，小区中间位置看房方便，随时可谈,305万,2室1厅 | 53.5平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dbbcdbb4-1d42-47e7-96d8-5ab9b75b2313.jpg.296x216.jpg
