20200208,浦东,金杨,正气三房 业主置换 诚意出售  满五唯一 产权清晰必看好房,992万,3室2厅 | 121平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1JcDFPE74.jpg.296x216.jpg
20200208,浦东,金杨,天园公寓电梯两房！买进价高税费少！房东诚意出售！,520万,2室1厅 | 83.19平米 | 南 | 精装 | 中楼层(共24层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_CqmDVkan9_1.jpg.296x216.jpg
20200208,浦东,金杨,建平+精装三改二+业主成心卖++,975万,2室2厅 | 122.41平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-aa4a4c4e-7998-4c33-abd8-35895ca8d062.jpg.296x216.jpg
20200208,浦东,金杨,此房满五 中装一房直筒套厨卫朝北，位置好9m14m房主自荐,212.8万,1室1厅 | 46.7平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qCbuJJSHl_1.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一。小区中间不靠路，全明户型采光好，近地铁。,280万,2室1厅 | 57.04平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ba489dc4-4754-446e-8b75-4e3869ac07aa.jpg.296x216.jpg
20200208,浦东,金杨,总价低，满五唯一，带花园，产权清晰，诚心出售,460万,1室1厅 | 46.15平米 | 南 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36970fad-a1f7-46b5-84dd-e9eb40c0f8d1.jpg.296x216.jpg
20200208,浦东,金杨,2楼楼层好，一梯两户，诚意出售，看房方便,275万,2室1厅 | 59.21平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PwNRsnont_1.jpg.296x216.jpg
20200208,浦东,金杨,近6号线大三房，南北全明通透户型，满五唯一税少房主自荐,385万,3室1厅 | 77.06平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-27d23141-46b3-4182-97fc-742879de0679.jpg.296x216.jpg
20200208,浦东,金杨,品质商品房自住，小区后排位置佳，置换诚心出售！,440万,2室2厅 | 92.77平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qwYTqKbeB_1.jpg.296x216.jpg
20200208,浦东,金杨,精装修，南北户型，实用面积大，无违建，税费少,445万,2室1厅 | 62.19平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yUNoP87cT.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一 近地铁  刚需好房  诚意出售,235万,1室1厅 | 48.67平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Phs1aJ7yA.jpg.296x216.jpg
20200208,浦东,金杨,精装居家，小区后排位置，可以直接入住房主自荐,465万,1室1厅 | 45.94平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hL9ooHXua_1.jpg.296x216.jpg
20200208,浦东,金杨,6+14双轨地铁，小区花园位置，全明户型，诚意出售房主自荐,218万,2室1厅 | 46.58平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qORBpdCiO.jpg.296x216.jpg
20200208,浦东,金杨,双南大两房户型+楼下就是地铁九号线地铁,500万,2室1厅 | 81.39平米 | 南 | 精装 | 低楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_dOKcQrJDi_1.jpg.296x216.jpg
20200208,浦东,金杨,精装修，双南两房，三轨交通，价格可谈！！,340万,2室1厅 | 70.99平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oeHejGAzG.jpg.296x216.jpg
20200208,浦东,金杨,新上近地铁 动迁双南全明两房 总价低 花园位置 随时看房主自荐,300万,2室1厅 | 57.81平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8JS7HfPjN.jpg.296x216.jpg
20200208,浦东,金杨,6号线德平路  婚房精装  双南两房   户型正气 采光好房主自荐,340万,2室2厅 | 69.49平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_p8lVlibwq_1.jpg.296x216.jpg
20200208,浦东,金杨,双南大两房，全明户型，钥匙房看房方便,336万,2室1厅 | 68.71平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jFMnOS6JM_1.jpg.296x216.jpg
20200208,浦东,金杨,动迁税少，全明宝钢结构，双地铁（14+6）,310万,2室1厅 | 61.77平米 | 西南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ur3EESrXN.jpg.296x216.jpg
20200208,浦东,金杨,此房精装修，楼层适中，位置佳，急售,400万,2室2厅 | 77.62平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CZ3Kvu6AD_1.jpg.296x216.jpg
20200208,浦东,金杨,双南全明户型，景观房，近地铁9号线，近碧云国际社区房主自荐,300万,2室1厅 | 60.43平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZRuFJDzkQ_1.jpg.296x216.jpg
20200208,浦东,金杨,始信北苑，满五2/3唯一，一手动迁,620万,1室1厅 | 69.21平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zrSgL4zwa.jpg.296x216.jpg
20200208,浦东,金杨,地铁沿线，商品房，一梯两户，{满五唯一，拎包入住},439万,2室2厅 | 75.8平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lahpUbGSm.jpg.296x216.jpg
20200208,浦东,金杨,此房满五唯一税费少，健身楼层，诚意出售，方便看房,598万,4室2厅 | 103.38平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_D2IG4S3Cx.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一，楼层好，户型正气采光充足，交通配套齐全,430万,3室1厅 | 91.46平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AFh2zL9sl_1.jpg.296x216.jpg
20200208,浦东,金杨,一手动迁，满五唯一，2楼双南户型，不靠路，近地铁,335万,2室1厅 | 58.83平米 | 南 | 简装 | 低楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_u556JAeXn_1.jpg.296x216.jpg
20200208,浦东,金杨,近金桥久金，中楼层，双南全明户型,440万,2室1厅 | 91.27平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Qq6vBVBKd_1.jpg.296x216.jpg
20200208,浦东,金杨,售后公房税费少，电梯中层产权清晰，无抵押，诚意出售,510万,3室1厅 | 95.91平米 | 南 | 简装 | 中楼层(共22层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_meOjaIlyo.jpg.296x216.jpg
20200208,浦东,金杨,金杨新村四街坊 2室1厅 420万,420万,2室1厅 | 60.53平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mHLAYDCYd_1.jpg.296x216.jpg
20200208,浦东,金杨,近金桥国际广场，温馨两房，全明户型，采光通风好房主自荐,315万,2室1厅 | 64.7平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hx8QewZk3_1.jpg.296x216.jpg
20200208,浦东,金杨,9/14蓝天路站，电梯中间楼层，通风良好，采光佳。,350万,2室1厅 | 72.08平米 | 南 | 其他 | 中楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_39PXEFP5e_1.jpg.296x216.jpg
20200208,浦东,金杨,近地铁 满五年 中间楼层 小两房 精装修 诚意出售,265万,2室1厅 | 52.74平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VZqjXvDj8_1.jpg.296x216.jpg
20200208,浦东,金杨,建平原始动迁大三房 附带花园 看房联系维护人小许,730万,3室2厅 | 95.2平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vLfvIbTh5_1.jpg.296x216.jpg
20200208,浦东,金杨,电梯房，采光通风较好，房东诚意出售。,900万,3室2厅 | 134.82平米 | 南 | 简装 | 低楼层(共9层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ajtNBsPVF.jpg.296x216.jpg
20200208,浦东,金杨,大两房 全明户型，税费少，看房方便,235万,2室0厅 | 51.57平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-96df84aa-fd57-414c-bf2d-632d9976122f.png.296x216.jpg
20200208,浦东,金杨,9号线台儿庄路咫尺之遥，一梯两户，全明户型,215万,1室1厅 | 53.68平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d32aa3bc-8607-4e3f-bc30-6200ca927a01.jpg.296x216.jpg
20200208,浦东,金杨,店长推荐，满五年唯一，三轨交通，精装修，采光好！,227万,1室1厅 | 48.83平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-563c7e32-ef78-44a3-86f1-7d7f695185b6.jpg.296x216.jpg
20200208,浦东,金杨,南北两房附带一个大花园，格局方正,600万,2室1厅 | 70.58平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-179f70b6-cec6-4704-8358-bf4a00f42795.jpg.296x216.jpg
20200208,浦东,金杨,香山西南街坊（双南三房）自住诚售+看房方便花园位置,680万,3室2厅 | 121.08平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d4403f6b-7275-460d-bfe0-1f88a2772cac.png.296x216.jpg
20200208,浦东,金杨,金杨样板房、示范幼儿园、精装修、南边是花园,300万,2室1厅 | 57.93平米 | 南 北 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f6f19811-4c63-4db1-922f-928716698e24.jpg.296x216.jpg
20200208,浦东,金杨,致远 ，出行方便，近地铁中环少有电梯房,500万,2室2厅 | 100.88平米 | 西南 | 简装 | 高楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-36a1261d-b102-4fd2-9dd3-c47e3b9291db.png.296x216.jpg
20200208,浦东,金杨,诚意出售，1梯2户，随时看，小区央座，采光好，户型好房主自荐,308万,2室1厅 | 67.38平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9c7b0cd0-7f81-4e7a-8b28-d05fe4bd4932.jpg.296x216.jpg
20200208,浦东,金杨,一梯两户+双楠两房+楼层好+房东诚心出售+有钥匙随时看,328万,2室1厅 | 59.5平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5ZKFx6NNJ_1.jpg.296x216.jpg
20200208,浦东,金杨,挑高客厅 位置安静 满五唯一 50㎡花园 别墅体验 急售房主自荐,1060万,3室2厅 | 139.23平米 | 南 北 | 精装 | 低楼层(共8层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-800916bf-a5c2-47fe-9f38-94ff5e076dc4.png.296x216.jpg
20200208,浦东,金杨,05年次新房+精装修+双轨交通+拎包入住,830万,2室2厅 | 94.79平米 | 南 | 精装 | 中楼层(共13层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7f2fe1f6-88de-4a18-a143-45a5b8b6a551.jpg.296x216.jpg
20200208,浦东,金杨,6号14号双轨双南全明二房，近入口，楼层好,315万,2室1厅 | 60.75平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-158b7482-b506-4238-9f23-17a1a4065549.jpg.296x216.jpg
20200208,浦东,金杨,售后公房厅朝南一梯两户 近地铁近小区入口 3楼/6楼,245万,1室1厅 | 46.27平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1bf675f5-3c9b-415d-9c51-1d70481b4017.jpg.296x216.jpg
20200208,浦东,金杨,（6+14）号线双轨+一梯两户+2楼+花园位置+全明,436万,2室1厅 | 74.87平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fb01cbe7-6c84-40ee-be59-033d4d6d1281.png.296x216.jpg
20200208,浦东,金杨,小区花园位置，视野好，采光好。一梯两户，东边套！,300万,2室1厅 | 64.8平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-274f08fa-e5b2-472b-96e0-3bc9f2c3f54f.jpg.296x216.jpg
20200208,浦东,金杨,双南全明户型，房东诚意售，采光好，看房方便。房主自荐,345万,2室1厅 | 67.77平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qMralUtd9_1.jpg.296x216.jpg
20200208,浦东,金杨,装修保养好大两房，满五唯一无个税，全明户型宽阔双厅,860万,2室2厅 | 101.37平米 | 南 | 精装 | 低楼层(共9层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ECauYdzIj.jpg.296x216.jpg
20200208,浦东,金杨,小区中间位置，次顶楼，售后公房,250万,1室1厅 | 52.09平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OnarzURA6.jpg.296x216.jpg
20200208,浦东,金杨,金台三居 2室2厅 360万,360万,2室2厅 | 84.2平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ehkNR0Lm1_1.jpg.296x216.jpg
20200208,浦东,金杨,金杨新村三街坊 2室1厅 338万,338万,2室1厅 | 58.24平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rTLObc2hP_1.jpg.296x216.jpg
20200208,浦东,金杨,金杨新村九街坊 2室1厅 450万,450万,2室1厅 | 79.15平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rIthtumGV_1.jpg.296x216.jpg
20200208,浦东,金杨,精装修带地暖.拎包入住.双轨交汇.看房方便.,417万,2室1厅 | 61.76平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LFB2Rmpsk_1.jpg.296x216.jpg
20200208,浦东,金杨,一梯两户 全明户型 中楼层 不靠路 税费少 诚意出售,460万,2室1厅 | 76.62平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3LHw2IGPC_1.jpg.296x216.jpg
20200208,浦东,金杨,黄山新村 2室1厅 578万,578万,2室1厅 | 77.26平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ws7bF3IDM_1.jpg.296x216.jpg
20200208,浦东,金杨,自住精装修，2000年商品房，电梯高层景观房，满五唯一房主自荐,630万,2室1厅 | 101平米 | 西南 | 精装 | 高楼层(共18层) | 2000年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-2d2ec659-c798-4781-aba3-0b22a9e09d7a.png.296x216.jpg
20200208,浦东,金杨,金杨十街坊，刚需房，地铁口，满五年，诚意出售房主自荐,212万,1室1厅 | 41.71平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-07486582-d71f-4ebc-8b81-4e81fa7c8378.jpg.296x216.jpg
20200208,浦东,金杨,05电梯房，居家精装修，诚心出售，随时看，满五唯一房主自荐,265万,1室1厅 | 54.62平米 | 北 | 精装 | 低楼层(共28层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-2af6973d-9097-4a98-8b6f-ac9ed9254948.jpg.296x216.jpg
20200208,浦东,金杨,一梯两户，婚房装修，超大客厅！全明户型！通风良好,244万,1室1厅 | 48.9平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SyQUG5m6B_1.jpg.296x216.jpg
20200208,浦东,金杨,南北通格局，户型好，室内保养好，一梯两户，诚意,225万,1室1厅 | 43.64平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0ct4SsX1k_1.jpg.296x216.jpg
20200208,浦东,金杨,边套全明厅带窗，双轨交通{6+14}，小区少有的户型,305万,2室1厅 | 62.09平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e6bfc13a-0756-4c6b-b18a-b57f282db747.jpg.296x216.jpg
20200208,浦东,金杨,新世纪名苑 3室2厅 1320万,1320万,3室2厅 | 147.5平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_h6HTGnVyZ_1.jpg.296x216.jpg
20200208,浦东,金杨,板式三房，两房南一房北，一梯两户，南北户型房主自荐,402万,3室2厅 | 74.55平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_29pjWPJbR.jpg.296x216.jpg
20200208,浦东,金杨,全明户型，采光透彻，近地铁，无需重新装修,175万,1室0厅 | 29.64平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kyiskdwZv_1.jpg.296x216.jpg
20200208,浦东,金杨,此房一梯两户，总高11层中间楼层，采光视野好。,925万,2室2厅 | 116.6平米 | 南 北 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_E6D65WdY7.jpg.296x216.jpg
20200208,浦东,金杨,精装双南两房，包含全套家具家电，一梯两户南北通透,325万,2室1厅 | 61.08平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-43e43ee6-01a9-4fad-83b4-227fe3dad3cb.jpg.296x216.jpg
20200208,浦东,金杨,婚房装修全明带大窗，南北通风！非顶楼前面无遮挡！,255万,1室1厅 | 50.66平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d8c17d14-c4ce-497c-afb5-71b6e5bc6888.jpg.296x216.jpg
20200208,浦东,金杨,一手动迁，满五不唯一，三轨交通，看房方便房主自荐,268万,2室1厅 | 55.28平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e18c0d3a-87eb-4fb9-8ff0-1a1ef5da195a.jpg.296x216.jpg
20200208,浦东,金杨,香山新村西南街坊 2室1厅 350万,350万,2室1厅 | 65平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-84d893ad-451b-404a-aa98-7aef271d0b0d.jpg.296x216.jpg
20200208,浦东,金杨,地铁蓝天路200米 三房二厅 全明户型 看房随时,420万,3室2厅 | 85.81平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pZ7GysgHk_1.jpg.296x216.jpg
20200208,浦东,金杨,边套全明一房，3轨交接，客厅带边窗，总价低房主自荐,235万,1室1厅 | 46.67平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gUGESOl4s_1.jpg.296x216.jpg
20200208,浦东,金杨,景观楼层，装修好，满五唯一，拎包入住,268万,2室1厅 | 57.52平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NMuUyCFzS_1.jpg.296x216.jpg
20200208,浦东,金杨,金杨七街坊 2室1厅 253万,253万,2室1厅 | 51.57平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LOYgwV0zP.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一 税少 诚意出售 户型好,225万,1室1厅 | 44.73平米 | 西南 | 精装 | 低楼层(共28层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_TKlgI4NIY_1.jpg.296x216.jpg
20200208,浦东,金杨,南北通风格局，业主诚意出售，看房方便，税费少！,580万,2室1厅 | 67.64平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-466224a7-2284-45b8-b2d1-ac2c81fbc99e.jpg.296x216.jpg
20200208,浦东,金杨,出门就是地铁，电梯中高楼层，邻近家乐福，配套齐全,470万,2室1厅 | 93.88平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-a4160760-1739-4595-a7d9-2987040903de.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一税费少+楼层好+毛坯房+无户口无抵押贷款,228万,1室1厅 | 44.49平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5Z7mGp2OM_1.jpg.296x216.jpg
20200208,浦东,金杨,电梯一房 邻近地铁 生活方便 价格美丽 诚心出售,280万,1室1厅 | 58.2平米 | 南 | 简装 | 低楼层(共25层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_dBT1Dl70K_1.jpg.296x216.jpg
20200208,浦东,金杨,名人苑，双南两房，靠德平路站6号线，蓝天路9号线,280万,2室1厅 | 59.4平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lRT6TQyq3.jpg.296x216.jpg
20200208,浦东,金杨,边套全明，位置OK，单价OK，总价OK，看房随时房主自荐,309万,2室1厅 | 64.12平米 | 南 北 | 简装 | 6层 | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Lm6Pd3VMi.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一，税少，看房随时，临河位置，风景优美,255万,1室1厅 | 46.5平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IWoJ0Ugha.jpg.296x216.jpg
20200208,浦东,金杨,广洋苑，低楼层，采光良好，小区中间，位置安静,655万,2室1厅 | 75.91平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_f8lTzJT6u.jpg.296x216.jpg
20200208,浦东,金杨,店长推荐，三轨交通，成熟社区，交通生活便利！总价低,260万,2室1厅 | 57.11平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_o7JLF5SV9_1.jpg.296x216.jpg
20200208,浦东,金杨,双轨地铁，小区央座，中间楼层，边套全明，欢迎品鉴,495万,2室2厅 | 87.15平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b160e1c2-ed81-4f56-8642-d5c6e935a6db.jpg.296x216.jpg
20200208,浦东,金杨,地铁（14号龙居路），临滨江，满五唯一，税费少。,465万,3室1厅 | 81.92平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PMJz2fObZ_1.jpg.296x216.jpg
20200208,浦东,金杨,二楼双南户型，满五唯一，诚心出售，距碧云社区近,280万,2室1厅 | 54平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Hg19plBG0.jpg.296x216.jpg
20200208,浦东,金杨,品质小区，户型正气，带两个大露台，诚意出售,1080万,5室1厅 | 184.96平米 | 南 | 精装 | 高楼层(共5层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6651ac23-ea57-4f99-9d14-2858f2a1e64a.jpg.296x216.jpg
20200208,浦东,金杨,售后公房无户口一梯两户 近地铁近小区入口 3楼/6楼,228万,1室1厅 | 43.13平米 | 南 | 毛坯 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-27add81f-f98e-4bf4-87e4-555e29ad0f51.jpg.296x216.jpg
20200208,浦东,金杨,九号线+地铁站+一梯两户+房型方正+南北通+诚意卖,230万,1室1厅 | 50.18平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bc3cd152-b74f-4b08-9671-871dfd5016d0.jpg.296x216.jpg
20200208,浦东,金杨,急售，非顶楼，双南＋全明的户型，一手动迁，户型正气,348万,2室1厅 | 68.5平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_46QDVQAGQ_1.jpg.296x216.jpg
20200208,浦东,金杨,房屋精装 中间楼层 三轨交通 税费少  全明户型,415万,3室1厅 | 74.34平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xoqMdaE7Q_1.jpg.296x216.jpg
20200208,浦东,金杨,户型全明，采光好，位于小区靠里位置，安静不吵,350万,2室1厅 | 70.99平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nf4wBqaQm_1.jpg.296x216.jpg
20200208,浦东,金杨,诚售--04年房龄/一梯两户/电梯房/钻石七楼,830万,2室2厅 | 105.65平米 | 南 北 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_N2MXkdIRZ_1.jpg.296x216.jpg
20200208,浦东,金杨,满五年唯一 景观楼层 致远还在 居家装修 诚意售房,470万,3室1厅 | 88.52平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CURL5Sb7O_1.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一+双南5楼+看房随时+地铁（6+14）+名人苑边,330万,2室1厅 | 67.01平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sT7yqHlvq_1.jpg.296x216.jpg
20200208,浦东,金杨,三街坊一梯两户双南+满五唯一拎包入住,275万,2室1厅 | 58.24平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5b3ecac9-586c-46d9-a17b-c340f1f7fc63.jpg.296x216.jpg
