20200208,浦东,高行,楼梯房三楼，满五年唯一，小区中间位置必看好房,500万,3室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kwJTxIZnb_1.jpg.296x216.jpg
20200208,浦东,高行,华高一村双南两房满五唯一，房东诚心卖，看房随时！！,328万,2室1厅 | 77.58平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6983628f-d19c-47d8-99c4-beefdfdb855f.jpg.296x216.jpg
20200208,浦东,高行,东源丽晶 5室3厅 2300万,2300万,5室3厅 | 293.65平米 | 南 | 简装 | 2层 | 2002年建 | 板楼 | 独栋别墅,https://image1.ljcdn.com/310000-inspection/b92146d8-dcc4-40d2-af89-73cadf01bd92.jpg.296x216.jpg
20200208,浦东,高行,汇园 1室1厅 430万,430万,1室1厅 | 66平米 | 南 | 精装 | 高楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a5ffa196-f894-4ada-9e61-6a61a909522f.jpg.296x216.jpg
20200208,浦东,高行,一楼带大花园   前后无遮挡  满五唯一无个税,636万,3室2厅 | 145.04平米 | 暂无数据 | 精装 | 低楼层(共8层) | 2000年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20160322/af8d56be-b083-4d90-8c81-a78f057dd091.jpg.296x216.jpg
20200208,浦东,高行,东源丽晶占地1000平的独栋别墅，精装修，看房方便,2150万,5室3厅 | 275.66平米 | 南 | 精装 | 2层 | 2003年建 | 板楼 | 独栋别墅,https://image1.ljcdn.com/shfdfs-image/20180109/c0771a9c-6226-40dc-b80a-9167bc17a09c.jpg.296x216.jpg
20200208,浦东,高行,采光好 双南户型  业主诚心出售,298万,2室2厅 | 72.02平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/da2708a7-9e8b-4f6b-8f70-11cf2d8a8fd5.jpg.296x216.jpg
20200208,浦东,高行,此房一概二，改的很好，精装修，采光好,248万,2室1厅 | 56.06平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WvurB0aMc_1.jpg.296x216.jpg
20200208,浦东,高行,电梯次顶楼，视野好，双南户型采光好，配套齐全,270万,1室2厅 | 57.36平米 | 南 | 毛坯 | 高楼层(共18层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-01c3f5fd-4037-42ce-8a0d-0875b22f3fa0.png.296x216.jpg
20200208,浦东,高行,满五年+楼层好位置好 采光充足 看房方便 房东诚意出售,465万,2室2厅 | 88.46平米 | 南 | 精装 | 高楼层(共20层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3cb8fb9a-7835-4aa6-b208-4840bdfa8ca2.png.296x216.jpg
20200208,浦东,高行,商品房  复式大户型，采光好，视野开阔，附固定装修,660万,5室2厅 | 197.97平米 | 南 | 简装 | 高楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-09209bea-9633-469f-8bc0-633437e8b6fb.jpg.296x216.jpg
20200208,浦东,高行,为数不多独栋高品质别墅区 大花园 闹中取静,2800万,4室2厅 | 296.35平米 | 北 | 精装 | 2层 | 2002年建 | 板楼 | 独栋别墅,https://image1.ljcdn.com/310000-inspection/bd89d1fb-1009-46c0-9db4-bc4917679559.jpg.296x216.jpg
20200208,浦东,高行,此房为满五唯一，复式大户型，采光好，视野开阔,760万,5室2厅 | 196.23平米 | 南 | 简装 | 高楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0c9cf12a-06f3-483f-993a-a4924e7ee2c3.png.296x216.jpg
20200208,浦东,高行,满五精装一房 总价低 税费少 房东诚心出售,225万,1室1厅 | 48.24平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-39015834-9507-4b96-abf6-e2938015d16a.jpg.296x216.jpg
20200208,浦东,高行,一手动迁满五年税费少，近万嘉广场，98平大两房。,480万,2室2厅 | 98.7平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2008年建 | 板楼,
20200208,浦东,高行,别墅房，闹中取静，位置好，格局敞亮,1200万,5室2厅 | 240.69平米 | 南 北 | 毛坯 | 3层 | 2005年建 | 板楼 | 联排别墅,
20200208,浦东,高行,满五不唯一 楼层好 景观视野宽阔 采光充足,490万,2室2厅 | 92.56平米 | 南 | 毛坯 | 中楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/34a9f7d3-eff6-4d09-9651-e34e3c57e32e.png.296x216.jpg
20200208,浦东,高行,满五年唯一 沿河别墅 景观好 税费低 业主诚意出售,1190万,4室2厅 | 238平米 | 南 北 | 精装 | 低楼层(共4层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0790874a-8651-4e55-bae7-1e79b6afbe19.jpg.296x216.jpg
20200208,浦东,高行,两房朝南，中楼层，无遮挡采光好，精装自住，税少,335万,2室1厅 | 77.27平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/4fec2edd-5d40-4da1-a67e-05e9da19a478.png.296x216.jpg
20200208,浦东,高行,采光充足，位置好无遮挡，户型好,528万,3室2厅 | 124.05平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20160421/261a660e-2fb6-42cd-a0d1-c9fd58a14107.jpg.296x216.jpg
20200208,浦东,高行,两房一厅一厨一卫，07年一手动迁税少,360万,2室1厅 | 70.89平米 | 南 | 简装 | 低楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170311/4bf05e36-6da7-4eaf-b3c2-5c6755ec669b.jpg.296x216.jpg
20200208,浦东,高行,成熟配套，交通方便，大两房，一手动迁，税费少,360万,2室2厅 | 85.09平米 | 南 | 毛坯 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/992787b7-9aa6-4ffe-a3ec-cf329989e507.png.296x216.jpg
20200208,浦东,高行,东源名都 3室2厅 750万,750万,3室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/f63dcadd-0e45-4915-b25f-c54336ff9c41.png.296x216.jpg
20200208,浦东,高行,房子满五唯一，楼层佳，视野好，适合居住。,295万,1室1厅 | 55.61平米 | 南 | 精装 | 高楼层(共16层) | 2011年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/44532a15-d7a6-44fa-9775-3631cee4d5a7.png.296x216.jpg
20200208,浦东,高行,万嘉旁 带花园 目前空关 随时可以签,260万,1室1厅 | 55.03平米 | 南 | 毛坯 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/6d2c979b-daa5-4203-892e-0e32cacda137.png.296x216.jpg
20200208,浦东,高行,华高一村 3室1厅 370万,370万,3室1厅 | 92.72平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/6a6c8fc9-3ad7-4969-a6e3-61eda856a023.png.296x216.jpg
20200208,浦东,高行,目前空关 精装修 诚心出售 随时可签,268万,1室1厅 | 53.25平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/42241b51-a02b-41de-b7ce-3b69bbd5eb44.png.296x216.jpg
20200208,浦东,高行,东源丽晶 4室4厅 2300万,2300万,4室4厅 | 296.35平米 | 南 | 精装 | 2层 | 2002年建 | 板楼 | 独栋别墅,
20200208,浦东,高行,房子满五唯一，双南户型，采光充足，视野宽阔,300万,2室1厅 | 78.39平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/127317ae-c0b5-431e-bcb2-397e230ac486.png.296x216.jpg
20200208,浦东,高行,此房满五南北通户型楼层好视野开阔 采光充足 配套成熟,755万,5室2厅 | 198.48平米 | 南 | 简装 | 高楼层(共5层) | 1998年建 | 板楼,
20200208,浦东,高行,楼层佳，税费少，采光充足，视野开阔，诚意出售,340万,2室1厅 | 80.48平米 | 南 | 其他 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/a7c4fabf-8f9f-477d-98d8-c98e95112172.png.296x216.jpg
20200208,浦东,高行,业主诚意出售：户型好，楼层好，视野开阔,530万,3室2厅 | 124.13平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/92465ce0-7c36-409e-9ac0-d27dd5f9ed59.png.296x216.jpg
20200208,浦东,高行,蝴蝶户型，南北通三房，配套齐全，交通便利,560万,3室2厅 | 115.42平米 | 南 北 | 简装 | 低楼层(共18层) | 2007年建 | 板楼,
20200208,浦东,高行,新高苑 南北通3房 房型正气 随时可看 小区环境优美,530万,3室2厅 | 125.73平米 | 南 | 简装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171111/176a6290-1367-4e61-a13b-904ac4d27e04.jpg.296x216.jpg
20200208,浦东,高行,幸福小镇 大两房 精装修 自住看房方便,480万,2室2厅 | 98.72平米 | 南 北 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20161010/f1e731a9-87a0-41b8-8927-6f392fed16fc.jpg.296x216.jpg
20200208,浦东,高行,电梯高层位置好，大阳台采光好，税费低随时可看！,283万,1室1厅 | 58.51平米 | 南 | 毛坯 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/107cbc22-5d73-470c-a0c2-db905b57f60b.png.296x216.jpg
20200208,浦东,高行,满五唯一  低楼层 出行方便 一手动迁税少,385万,2室2厅 | 83.38平米 | 南 | 毛坯 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/109de8f4-daf8-4d13-bff5-d5dddbf22689.png.296x216.jpg
20200208,浦东,高行,一手动迁税费少，南北通户型，品质小区，欢迎评鉴,496万,2室2厅 | 101.36平米 | 南 | 毛坯 | 中楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/de05308c-0c10-4484-87a2-02c62078fa17.png.296x216.jpg
20200208,浦东,高行,东源名都 3室2厅 550万,550万,3室2厅 | 111.13平米 | 南 | 简装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/8cae59f3-c354-4f7c-a107-a7eaa413fee3.png.296x216.jpg
20200208,浦东,高行,位置好 户型格局正气房间宽敞 采光充足 精装修,510万,2室2厅 | 105.97平米 | 南 北 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,
